"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","HDSD","HN01","HN02","HN03","HTDD","HX01","HX02","HX03","LN01","LN02","LN03","LX01","LX02","LX03","MN01","MN02","MN03","MNPN","MX01","MX02","MX03","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2019-01",,"0","0",,,,,"0","0","0","4","0","34",,,,"73",,"1168",,,,"445",,,,,,,,,,,,,,,,,,,,,"50.6","58.0","43.2",,,,,,,,
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2019-02",,"0","0",,,,,"0","6","0","0","0","32",,,,"57",,"1766",,,,"598",,,,,,,,,,,,,,,,,,,,,"43.6","50.0","37.3",,,,,,,,
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2019-03",,"0","0",,,,,"0","0","0","5","0","38",,,,"73",,"2166",,,,"400",,,,,,,,,,,,,,,,,,,,,"52.1","59.4","44.8",,,,,,,,
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2019-04",,"83","83",,,,,"0","0","0","19","0","44",,,,"89",,"2294",,,,"128",,,,,,,,,,,,,,,,,,,,,"63.5","72.7","54.3",,,,,,,,
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2019-01",,,,"6","2",,,,,,,,,,,"0.28",,,,,,,,,,,,,,,,,,,,,,,,,"0.53",,,,,,,,,,,,,
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2019-02",,,"0","6","3",,,"0","5","0","2","0","29",,,"0.84","73",,,,,,"450",,,,,,,,,,,,,,,,,,"1.61",,,"48.9","59.4","38.5",,,,,,,,
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2019-03",,,"1","1","1",,,"0","0","0","19","0","37",,,"0.36","82",,,,,,"181",,,,,,,,,,,,,,,,,,"0.36",,,"59.2","70.9","47.5",,,,,,,,
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2019-04",,,"170","0","0",,,"0","0","0","30","7","47",,,"0.00","97",,,,,,"9",,,,,,,,,,,,,,,,,,"0.00",,,"70.4","83.8","57.0",,,,,,,,
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2019-01",,"0","0",,,,,"0","2","0","1","0","29",,,,"72",,"1348",,,,"501",,,,,,,,,,,,,,,,,,,,,"48.8","57.3","40.4",,,,,,,,
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2019-02",,"0","0",,,,,"0","15","0","0","0","27",,,,"58",,"2012",,,,"664",,,,,,,,,,,,,,,,,,,,,"41.3","48.4","34.2",,,,,,,,
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2019-03",,"0","0",,,,,"0","1","0","4","0","32",,,,"75",,"2496",,,,"484",,,,,,,,,,,,,,,,,,,,,"49.4","58.5","40.3",,,,,,,,
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2019-04",,"31","31",,,,,"0","0","0","16","0","36",,,,"87",,"2692",,,,"196",,,,,,,,,,,,,,,,,,,,,"59.5","70.7","48.3",,,,,,,,
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2019-01",,"0","0",,,,,"0","1","0","1","0","32",,,,"70",,"1540",,,,"547",,,,,,,,,,,,,,,,,,,,,"47.0","52.1","41.8",,,,,,,,
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2019-02",,"0","0",,,,,"0","14","0","0","0","26",,,,"51",,"2266",,,,"725",,,,,,,,,,,,,,,,,,,,,"38.3","43.2","33.4",,,,,,,,
