"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","HDSD","HN01","HN02","HN03","HTDD","HX01","HX02","HX03","LN01","LN02","LN03","LX01","LX02","LX03","MN01","MN02","MN03","MNPN","MX01","MX02","MX03","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00042214","CULVER CITY, CA US","34.005","-118.4139","28.0","2020-03",,"18","0","11","6",,,"0","0","0","5","0","41",,,"1.41","77",,"990",,,,"217",,,,,,,,,,,,,,,,,,"4.39",,,"57.7","65.4","50.0",,,,,,,,
"USC00042214","CULVER CITY, CA US","34.005","-118.4139","28.0","2020-04",,"45","27","7","4",,,"0","0","0","10","0","49",,,"1.30","84",,"1096",,,,"106",,,,,,,,,,,,,,,,,,"2.64",,,"62.3","69.5","55.0",,,,,,,,
"USR0000CGOR","GORDON CALIFORNIA, CA US","40.7586","-120.8961","1889.8","2020-01",,"0","0",,,,,"0","31","3","0","0","11",,,,"61",,"4003",,,,"1011",,,,,,,,,,,,,,,,,,,,,"32.4","41.7","23.1",,,,,,,,
"USR0000CGOR","GORDON CALIFORNIA, CA US","40.7586","-120.8961","1889.8","2020-02",,"0","0",,,,,"0","28","1","0","0","5",,,,"63",,"4862",,,,"859",,,,,,,,,,,,,,,,,,,,,"35.4","48.9","21.9",,,,,,,,
"USR0000CGOR","GORDON CALIFORNIA, CA US","40.7586","-120.8961","1889.8","2020-03",,"0","0",,,,,"0","31","2","0","0","11",,,,"62",,"5813",,,,"951",,,,,,,,,,,,,,,,,,,,,"34.3","45.8","22.8",,,,,,,,
"USR0000CGOR","GORDON CALIFORNIA, CA US","40.7586","-120.8961","1889.8","2020-04",,"0","0",,,,,"0","20","0","3","0","13",,,,"76",,"6463",,,,"650",,,,,,,,,,,,,,,,,,,,,"43.3","57.3","29.4",,,,,,,,
"USR0000CREA","REDDING AIRPORT CALIFORNIA, CA US","40.5158","-122.2906","152.4","2020-01",,"0","0",,,,,"0","4","0","2","0","29",,,,"70",,"1517",,,,"538",,,,,,,,,,,,,,,,,,,,,"47.6","55.9","39.3",,,,,,,,
"USR0000CREA","REDDING AIRPORT CALIFORNIA, CA US","40.5158","-122.2906","152.4","2020-02",,"0","0",,,,,"0","3","0","12","0","32",,,,"82",,"1853",,,,"336",,,,,,,,,,,,,,,,,,,,,"53.4","68.0","38.8",,,,,,,,
"USR0000CREA","REDDING AIRPORT CALIFORNIA, CA US","40.5158","-122.2906","152.4","2020-03",,"2","2",,,,,"0","2","0","10","0","31",,,,"82",,"2240",,,,"387",,,,,,,,,,,,,,,,,,,,,"52.6","63.6","41.5",,,,,,,,
"USR0000CREA","REDDING AIRPORT CALIFORNIA, CA US","40.5158","-122.2906","152.4","2020-04",,"47","44",,,,,"0","0","0","21","1","35",,,,"93",,"2392",,,,"151",,,,,,,,,,,,,,,,,,,,,"61.4","75.6","47.2",,,,,,,,
"USC00045968","MOUNT LAGUNA NUMBER 3, CA US","32.8672","-116.4194","1804.4","2020-01",,"0","0","3","1","0","0","0","7","0","0","0","25","0","0.0","0.16","66",,"2280",,,,"630",,,,,,,,,,,,,,,,,,"0.28",,"0.0","44.7","53.2","36.1",,,,,,,,
"USC00045968","MOUNT LAGUNA NUMBER 3, CA US","32.8672","-116.4194","1804.4","2020-02",,"0","0","4","3","6","1","0","12","1","0","0","18","7","7.0","1.55","63",,"2904",,,,"625",,,,,,,,,,,,,,,,,,"2.14",,"7.0","43.5","52.0","34.9",,,,,,,,
"USC00045968","MOUNT LAGUNA NUMBER 3, CA US","32.8672","-116.4194","1804.4","2020-03",,"0","0","14","11","2","2","0","17","0","0","0","23","3","4.3","1.80","64",,"3680",,,,"776",,,,,,,,,,,,,,,,,,"6.27",,"7.4","40.0","47.5","32.5",,,,,,,,
"USC00045968","MOUNT LAGUNA NUMBER 3, CA US","32.8672","-116.4194","1804.4","2020-04",,"11","11","6","5","4","4","0","4","0","9","0","27","4","3.1","0.93","82",,"4126",,,,"446",,,,,,,,,,,,,,,,,,"3.31",,"10.4","50.5","60.4","40.6",,,,,,,,
"US1CAMT0006","CASTROVILLE 1.6 ENE, CA US","36.776417","-121.728389","5.5","2020-01",,,,"7","2",,,,,,,,,,,"0.90",,,,,,,,,,,,,,,,,,,,,,,,,"1.17",,,,,,,,,,,,,
"US1CAMT0006","CASTROVILLE 1.6 ENE, CA US","36.776417","-121.728389","5.5","2020-02",,,,"1","0",,"0",,,,,,,,"0.0","0.03",,,,,,,,,,,,,,,,,,,,,,,,,"0.03",,"0.0",,,,,,,,,,,
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2020-01",,"6","6",,,,,"0","0","0","11","0","40",,,,"80",,"767",,,,"264",,,,,,,,,,,,,,,,,,,,,"56.7","65.3","48.0",,,,,,,,
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2020-02",,"22","17",,,,,"0","0","0","10","0","39",,,,"82",,"992",,,,"225",,,,,,,,,,,,,,,,,,,,,"57.8","67.1","48.5",,,,,,,,
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2020-03",,"22","0",,,,,"0","0","0","7","0","38",,,,"80",,"1340",,,,"348",,,,,,,,,,,,,,,,,,,,,"53.8","61.2","46.3",,,,,,,,
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2020-04",,"92","69",,,,,"0","0","0","13","1","43",,,,"90",,"1556",,,,"216",,,,,,,,,,,,,,,,,,,,,"60.1","68.1","52.1",,,,,,,,
"US1CAMT0003","LOCKWOOD 3.6 NW, CA US","35.980762","-121.11736","360.0","2020-01",,,,"3","2",,"0",,,,,,,,"0.0","0.62",,,,,,,,,,,,,,,,,,,,,,,,,"0.77",,"0.0",,,,,,,,,,,
"US1CAMT0003","LOCKWOOD 3.6 NW, CA US","35.980762","-121.11736","360.0","2020-02",,,,"0","0",,"0",,,,,,,,"0.0","0.00",,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,"0.0",,,,,,,,,,,
"US1CAMT0003","LOCKWOOD 3.6 NW, CA US","35.980762","-121.11736","360.0","2020-03",,,,"13","8",,,,,,,,,,,"0.76",,,,,,,,,,,,,,,,,,,,,,,,,"3.91",,,,,,,,,,,,,
"US1CAMT0003","LOCKWOOD 3.6 NW, CA US","35.980762","-121.11736","360.0","2020-04",,,,"7","4",,,,,,,,,,,"2.07",,,,,,,,,,,,,,,,,,,,,,,,,"2.72",,,,,,,,,,,,,
"USR0000CRCH","RANCHITA CALIFORNIA, CA US","33.2222","-116.4975","1345.7","2020-01",,"0","0",,,,,"0","0","0","0","0","33",,,,"68",,"1587",,,,"469",,,,,,,,,,,,,,,,,,,,,"49.9","59.0","40.7",,,,,,,,
"USR0000CRCH","RANCHITA CALIFORNIA, CA US","33.2222","-116.4975","1345.7","2020-02",,"0","0",,,,,"0","3","0","0","0","22",,,,"68",,"2021",,,,"434",,,,,,,,,,,,,,,,,,,,,"50.0","59.2","40.9",,,,,,,,
"USR0000CRCH","RANCHITA CALIFORNIA, CA US","33.2222","-116.4975","1345.7","2020-03",,"0","0",,,,,"0","3","0","1","0","30",,,,"70",,"2609",,,,"588",,,,,,,,,,,,,,,,,,,,,"46.0","53.7","38.3",,,,,,,,
"USR0000CRCH","RANCHITA CALIFORNIA, CA US","33.2222","-116.4975","1345.7","2020-04",,"56","56",,,,,"0","0","0","10","0","33",,,,"86",,"2971",,,,"362",,,,,,,,,,,,,,,,,,,,,"54.8","63.8","45.8",,,,,,,,
"USC00044405","JOSHUA TREE, CA US","34.1471","-116.2747","781.2","2020-01",,"0","0","0","0","0","0","0","7","0","0","0","28","0","0.0","0.00","69",,"1430",,,,"478",,,,,,,,,,,,,,,,,,"0.00",,"0.0","49.6","62.5","36.6",,,,,,,,
"USC00044405","JOSHUA TREE, CA US","34.1471","-116.2747","781.2","2020-02",,"0","0","2","0","0","0","0","3","0","12","0","24","0","0.0","0.02","75",,"1782",,,,"352",,,,,,,,,,,,,,,,,,"0.03",,"0.0","52.4","66.1","38.8",,,,,,,,
"USC00044405","JOSHUA TREE, CA US","34.1471","-116.2747","781.2","2020-03",,"0","0","7","5","0","0","0","4","0","5","0","29","0","0.0","1.00","78",,"2208",,,,"426",,,,,,,,,,,,,,,,,,"2.00",,"0.0","51.3","64.0","38.5",,,,,,,,
"USC00044405","JOSHUA TREE, CA US","34.1471","-116.2747","781.2","2020-04",,"66","66","5","4","0","0","0","0","0","23","5","35","0","0.0","0.87","98",,"2404",,,,"196",,,,,,,,,,,,,,,,,,"1.93",,"0.0","60.7","75.5","45.8",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","36.98785","-121.99952","21.3","2020-01",,,,"6","3",,,,,,,,,,,"1.80",,,,,,,,,,,,,,,,,,,,,,,,,"3.20",,,,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","36.98785","-121.99952","21.3","2020-02",,,"0","0","0",,,"0","0","0","8","0","35",,,"0.00","81",,,,,,"296",,,,,,,,,,,,,,,,,,"0.00",,,"54.4","67.1","41.8",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","36.98785","-121.99952","21.3","2020-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.34",,,,,,,,,,,,,
"USC00046826","PETALUMA AIRPORT, CA US","38.2577","-122.6077","6.1","2020-01",,"0","0","16","6",,,"0","5","0","0","0","31",,,"1.30","69",,,,,,"498",,,,,,,,,,,,,,,,,,"2.56",,,"48.9","58.8","39.1",,,,,,,,
"USC00046826","PETALUMA AIRPORT, CA US","38.2577","-122.6077","6.1","2020-02",,"0","0","0","0",,,"0","0","0","10","0","33",,,"0.00","79",,,,,,"351",,,,,,,,,,,,,,,,,,"0.00",,,"52.9","67.4","38.4",,,,,,,,
"USC00046826","PETALUMA AIRPORT, CA US","38.2577","-122.6077","6.1","2020-03",,"0","0","11","7",,,"0","5","0","9","0","32",,,"0.50","78",,,,,,"401",,,,,,,,,,,,,,,,,,"2.15",,,"52.1","64.7","39.5",,,,,,,,
"USC00046826","PETALUMA AIRPORT, CA US","38.2577","-122.6077","6.1","2020-04",,"2","2","4","3",,,"0","2","0","12","0","32",,,"0.58","80",,,,,,"258",,,,,,,,,,,,,,,,,,"1.07",,,"56.5","67.8","45.1",,,,,,,,
"US1CAMT0019","CARMEL VALLEY VILLAGE 0.7 SSE, CA US","36.476316","-121.719656","135.9","2020-01",,,,"10","3",,,,,,,,,,,"0.77",,,,,,,,,,,,,,,,,,,,,,,,,"1.37",,,,,,,,,,,,,
"US1CAMT0019","CARMEL VALLEY VILLAGE 0.7 SSE, CA US","36.476316","-121.719656","135.9","2020-03",,,,"16","9",,,,,,,,,,,"0.81",,,,,,,,,,,,,,,,,,,,,,,,,"3.90",,,,,,,,,,,,,
"US1CAMT0019","CARMEL VALLEY VILLAGE 0.7 SSE, CA US","36.476316","-121.719656","135.9","2020-04",,,,"6","3",,,,,,,,,,,"1.14",,,,,,,,,,,,,,,,,,,,,,,,,"1.53",,,,,,,,,,,,,
"USC00044881","LEE VINING, CA US","37.9567","-119.1194","2071.7","2020-01",,"0","0","2","1","23","0","0","25","1","0","0","14","6","0.1","0.45","55",,"3425",,,,"913",,,,,,,,,,,,,,,,,,"0.48",,"0.1","35.5","45.6","25.5",,,,,,,,
"USC00044881","LEE VINING, CA US","37.9567","-119.1194","2071.7","2020-02",,"0","0","0","0","0","0","0","26","3","0","0","5","0","0.0","0.00","63",,"4232",,,,"807",,,,,,,,,,,,,,,,,,"0.00",,"0.0","37.2","51.2","23.2",,,,,,,,
"USC00044881","LEE VINING, CA US","37.9567","-119.1194","2071.7","2020-03",,"0","0","9","4","7","5","0","25","0","0","0","15","9","4.5","0.55","64",,"5111",,,,"879",,,,,,,,,,,,,,,,,,"1.53",,"15.6","36.6","47.3","26.0",,,,,,,,
"USC00044881","LEE VINING, CA US","37.9567","-119.1194","2071.7","2020-04",,"0","0","7","3","3","2","0","14","0","8","0","20","7","6.8","0.86","81",,"5671",,,,"560",,,,,,,,,,,,,,,,,,"2.12",,"11.6","46.3","59.4","33.3",,,,,,,,
"US1CAIN0005","BISHOP 8.8 WNW, CA US","37.411456","-118.547408","1382.9","2020-04",,,,"5","2",,,,,,,,,,,"0.65",,,,,,,,,,,,,,,,,,,,,,,,,"1.00",,,,,,,,,,,,,
"US1CAOR0067","LA PALMA 0.6 WNW, CA US","33.8531881","-118.048944","18.6","2020-01",,,,"2","1",,,,,,,,,,,"0.18",,,,,,,,,,,,,,,,,,,,,,,,,"0.26",,,,,,,,,,,,,
