"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","HDSD","HN01","HN02","HN03","HTDD","HX01","HX02","HX03","LN01","LN02","LN03","LX01","LX02","LX03","MN01","MN02","MN03","MNPN","MX01","MX02","MX03","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2017-09",,"2533","407",,,,,"0","0","0","30","14","52",,,,"114",,"5",,,,"5",,,,,,,,,,,,,,,,,,,,,"78.4","89.4","67.4",,,,,,,,
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2017-10",,"2708","175",,,,,"0","0","0","28","7","47",,,,"93",,"38",,,,"33",,,,,,,,,,,,,,,,,,,,,"69.6","81.0","58.2",,,,,,,,
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2017-11",,"2708","0",,,,,"0","0","0","2","0","41",,,,"74",,"351",,,,"313",,,,,,,,,,,,,,,,,,,,,"54.6","61.4","47.7",,,,,,,,
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2017-12",,"2708","0",,,,,"0","0","0","7","0","37",,,,"76",,"709",,,,"358",,,,,,,,,,,,,,,,,,,,,"53.5","62.9","44.0",,,,,,,,
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2017-09",,"3547","508","2","2",,,"0","0","0","30","24","54",,,"0.24","106",,"0",,,,"0",,,,,,,,,,,,,,,,,,"0.37",,,"81.9","95.1","68.8",,,,,,,,
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2017-10",,"3810","263","0","0",,,"0","0","0","31","14","49",,,"0.00","94",,"0",,,,"0",,,,,,,,,,,,,,,,,,"0.00",,,"73.5","88.7","58.3",,,,,,,,
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2017-11",,"3849","39","0","0",,,"0","0","0","28","0","38",,,"0.00","86",,"49",,,,"49",,,,,,,,,,,,,,,,,,"0.00",,,"64.7","77.5","51.8",,,,,,,,
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2017-12",,"3849","0","0","0",,,"0","0","0","19","0","33",,,"0.00","77",,"335",,,,"285",,,,,,,,,,,,,,,,,,"0.00",,,"55.8","69.2","42.4",,,,,,,,
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2017-09",,"1742","266",,,,,"0","0","0","29","11","46",,,,"109",,"24",,,,"24",,,,,,,,,,,,,,,,,,,,,"73.1","87.0","59.1",,,,,,,,
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2017-10",,"1825","83",,,,,"0","0","0","28","1","40",,,,"91",,"105",,,,"81",,,,,,,,,,,,,,,,,,,,,"65.1","79.5","50.6",,,,,,,,
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2017-11",,"1825","0",,,,,"0","0","0","2","0","36",,,,"74",,"470",,,,"366",,,,,,,,,,,,,,,,,,,,,"52.8","60.4","45.2",,,,,,,,
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2017-12",,"1825","0",,,,,"0","2","0","1","0","29",,,,"70",,"912",,,,"441",,,,,,,,,,,,,,,,,,,,,"50.8","61.6","40.0",,,,,,,,
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2017-09",,"656","171","2","2",,,"0","0","0","30","1","54",,,"0.33","95",,"1",,,,"0",,,,,,,,,,,,,,,,,,"0.49",,,"70.7","80.1","61.3",,,,,,,,
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2017-10",,"785","129","0","0",,,"0","0","0","28","5","52",,,"0.00","99",,"10",,,,"9",,,,,,,,,,,,,,,,,,"0.00",,,"68.9","80.4","57.4",,,,,,,,
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2017-11",,"802","17","3","0",,,"0","0","0","16","0","45",,,"0.06","89",,"105",,,,"95",,,,,,,,,,,,,,,,,,"0.08",,,"62.4","71.1","53.7",,,,,,,,
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2017-12",,"802","0","0","0",,,"0","0","0","12","0","39",,,"0.00","79",,"359",,,,"253",,,,,,,,,,,,,,,,,,"0.00",,,"56.8","68.2","45.4",,,,,,,,
"USC00042214","CULVER CITY, CA US","34.005","-118.4139","28.0","2017-09",,"790","208","1","0",,,"0","0","0","30","3","57",,,"0.02","99",,"0",,,,"0",,,,,,,,,,,,,,,,,,"0.02",,,"71.9","80.2","63.6",,,,,,,,
"USC00042214","CULVER CITY, CA US","34.005","-118.4139","28.0","2017-10",,"964","173","1","0",,,"0","0","0","26","7","56",,,"0.01","101",,"1",,,,"0",,,,,,,,,,,,,,,,,,"0.01",,,"71.0","81.1","60.8",,,,,,,,
"USC00042214","CULVER CITY, CA US","34.005","-118.4139","28.0","2017-11",,"990","26","3","0",,,"0","0","0","18","1","48",,,"0.05","90",,"59",,,,"58",,,,,,,,,,,,,,,,,,"0.08",,,"63.9","72.5","55.3",,,,,,,,
"USC00042214","CULVER CITY, CA US","34.005","-118.4139","28.0","2017-12",,"993","3","0","0",,,"0","0","0","14","0","40",,,"0.00","81",,"225",,,,"166",,,,,,,,,,,,,,,,,,"0.00",,,"59.4","70.8","47.9",,,,,,,,
"USR0000CGOR","GORDON CALIFORNIA, CA US","40.7586","-120.8961","1889.8","2017-09",,"278","52",,,,,"0","4","0","15","4","25",,,,"92",,"326",,,,"303",,,,,,,,,,,,,,,,,,,,,"56.6","71.0","42.3",,,,,,,,
"USR0000CGOR","GORDON CALIFORNIA, CA US","40.7586","-120.8961","1889.8","2017-10",,"278","0",,,,,"0","17","0","8","0","18",,,,"74",,"915",,,,"589",,,,,,,,,,,,,,,,,,,,,"46.0","60.8","31.2",,,,,,,,
"USR0000CGOR","GORDON CALIFORNIA, CA US","40.7586","-120.8961","1889.8","2017-11",,"278","0",,,,,"0","18","0","0","0","16",,,,"62",,"1746",,,,"830",,,,,,,,,,,,,,,,,,,,,"37.3","45.4","29.3",,,,,,,,
"USR0000CGOR","GORDON CALIFORNIA, CA US","40.7586","-120.8961","1889.8","2017-12",,"278","0",,,,,"0","31","2","0","0","10",,,,"61",,"2726",,,,"980",,,,,,,,,,,,,,,,,,,,,"33.4","45.3","21.4",,,,,,,,
"USR0000CREA","REDDING AIRPORT CALIFORNIA, CA US","40.5158","-122.2906","152.4","2017-09",,"2227","345",,,,,"0","0","0","30","15","45",,,,"115",,"9",,,,"9",,,,,,,,,,,,,,,,,,,,,"76.2","91.2","61.2",,,,,,,,
"USR0000CREA","REDDING AIRPORT CALIFORNIA, CA US","40.5158","-122.2906","152.4","2017-10",,"2290","63",,,,,"0","0","0","28","6","40",,,,"94",,"75",,,,"66",,,,,,,,,,,,,,,,,,,,,"64.9","82.0","47.8",,,,,,,,
"USR0000CREA","REDDING AIRPORT CALIFORNIA, CA US","40.5158","-122.2906","152.4","2017-11",,"2290","0",,,,,"0","2","0","2","0","32",,,,"71",,"438",,,,"362",,,,,,,,,,,,,,,,,,,,,"52.9","61.5","44.3",,,,,,,,
"USR0000CREA","REDDING AIRPORT CALIFORNIA, CA US","40.5158","-122.2906","152.4","2017-12",,"2290","0",,,,,"0","13","0","5","0","26",,,,"75",,"959",,,,"521",,,,,,,,,,,,,,,,,,,,,"48.2","62.1","34.3",,,,,,,,
"USC00045968","MOUNT LAGUNA NUMBER 3, CA US","32.8672","-116.4194","1804.4","2017-09",,"561","40","3","1",,,"0","0","0","19","0","34",,,"0.30","83",,"186",,,,"176",,,,,,,,,,,,,,,,,,"0.32",,,"60.5","71.1","49.8",,,,,,,,
