value,value_std_dev,nvalue,qcflag,time
368.84,0.09,15,pass,2000-01-01
368.82,0.16,13,pass,2000-01-02
368.75,0.12,12,pass,2000-01-03
368.82,0.13,13,pass,2000-01-04
368.66,0.1,14,pass,2000-01-05
368.46,0.03,14,pass,2000-01-06
368.64,0.23,14,pass,2000-01-07
369.0,0.04,14,pass,2000-01-08
368.83,0.05,14,pass,2000-01-09
368.8,0.09,12,pass,2000-01-10
368.96,0.09,9,pass,2000-01-11
368.71,0.13,14,pass,2000-01-12
369.14,0.14,7,pass,2000-01-13
368.84,0.08,9,pass,2000-01-14
368.82,0.04,14,pass,2000-01-15
370.02,0.24,9,pass,2000-01-16
369.63,0.14,12,pass,2000-01-20
369.83,0.26,12,pass,2000-01-21
370.65,0.19,6,pass,2000-01-22
369.87,0.16,13,pass,2000-01-23
369.57,0.1,14,pass,2000-01-24
370.59,0.38,15,pass,2000-01-27
370.63,0.11,14,pass,2000-01-28
369.75,0.17,9,pass,2000-01-29
369.34,0.11,15,pass,2000-01-30
368.98,0.16,9,pass,2000-01-31
369.42,0.1,3,pass,2000-02-01
369.39,0.15,8,pass,2000-02-04
369.15,0.05,6,pass,2000-02-05
369.38,0.08,10,pass,2000-02-06
369.52,0.03,10,pass,2000-02-10
369.93,0.01,3,pass,2000-02-12
369.82,0.09,7,pass,2000-02-14
369.82,0.07,7,pass,2000-02-15
369.51,0.13,11,pass,2000-02-17
370.76,0.19,5,pass,2000-02-19
369.14,0.03,15,pass,2000-02-21
369.01,0.11,13,pass,2000-02-22
368.9,0.13,14,pass,2000-02-23
369.01,0.15,15,pass,2000-02-24
370.24,0.09,14,pass,2000-02-25
369.84,0.16,14,pass,2000-02-26
370.27,0.12,13,pass,2000-02-27
369.5,0.11,13,pass,2000-02-28
369.83,0.26,14,pass,2000-02-29
369.74,0.17,8,pass,2000-03-01
369.95,0.12,10,pass,2000-03-02
370.8,0.09,12,pass,2000-03-03
370.66,0.14,13,pass,2000-03-04
371.29,0.17,10,pass,2000-03-05
369.84,0.14,7,pass,2000-03-06
369.64,0.16,11,pass,2000-03-07
369.86,0.13,14,pass,2000-03-08
369.58,0.06,12,pass,2000-03-09
369.67,0.14,6,pass,2000-03-10
370.64,0.05,3,pass,2000-03-11
370.28,0.18,11,pass,2000-03-12
370.44,0.28,14,pass,2000-03-13
370.03,0.15,15,pass,2000-03-14
370.87,0.19,13,pass,2000-03-15
370.77,0.17,9,pass,2000-03-16
370.82,0.15,11,pass,2000-03-17
371.29,0.15,10,pass,2000-03-18
371.47,0.23,14,pass,2000-03-19
371.03,0.26,15,pass,2000-03-20
370.85,0.16,15,pass,2000-03-21
370.71,0.05,5,pass,2000-03-23
370.94,0.2,4,pass,2000-03-24
370.6,0.43,13,pass,2000-03-25
371.07,0.18,10,pass,2000-03-26
371.22,0.17,7,pass,2000-03-27
371.18,0.22,8,pass,2000-03-28
370.79,0.11,13,pass,2000-03-29
370.74,0.12,7,pass,2000-03-30
371.01,0.2,12,pass,2000-03-31
371.91,0.16,10,pass,2000-04-01
370.65,0.33,10,pass,2000-04-02
371.48,0.21,12,pass,2000-04-03
370.72,0.08,12,pass,2000-04-04
370.21,0.09,5,pass,2000-04-05
371.74,0.04,5,pass,2000-04-06
371.13,0.08,5,pass,2000-04-07
371.52,0.08,8,pass,2000-04-08
372.28,0.27,9,pass,2000-04-09
371.61,0.1,12,pass,2000-04-10
371.49,0.1,14,pass,2000-04-12
372.06,0.33,5,pass,2000-04-13
371.48,0.13,9,pass,2000-04-14
373.11,0.15,13,pass,2000-04-15
372.41,0.09,15,pass,2000-04-16
372.25,0.24,8,pass,2000-04-17
372.12,0.3,14,pass,2000-04-18
373.34,0.26,15,pass,2000-04-20
372.02,0.25,10,pass,2000-04-21
371.85,0.2,15,pass,2000-04-22
371.98,0.05,14,pass,2000-04-23
371.87,0.3,11,pass,2000-04-24
371.93,0.06,6,pass,2000-04-25
371.94,0.09,14,pass,2000-04-26
371.97,0.06,9,pass,2000-04-27
371.82,0.08,14,pass,2000-04-28
371.69,0.17,9,pass,2000-04-30
370.9,0.09,14,pass,2000-05-01
370.67,0.04,12,pass,2000-05-02
370.6,0.1,14,pass,2000-05-03
370.8,0.27,13,pass,2000-05-04
370.76,0.03,13,pass,2000-05-05
370.92,0.28,10,pass,2000-05-06
372.2,0.54,5,pass,2000-05-07
371.82,0.15,14,pass,2000-05-09
371.94,0.35,11,pass,2000-05-10
372.12,0.12,15,pass,2000-05-11
371.77,0.26,13,pass,2000-05-12
371.4,0.12,15,pass,2000-05-13
371.36,0.09,13,pass,2000-05-14
371.56,0.18,15,pass,2000-05-15
371.38,0.11,14,pass,2000-05-16
371.49,0.09,7,pass,2000-05-17
371.44,0.14,13,pass,2000-05-18
371.32,0.1,11,pass,2000-05-19
371.98,0.62,12,pass,2000-05-20
372.37,0.1,11,pass,2000-05-21
372.24,0.08,14,pass,2000-05-22
372.29,0.09,13,pass,2000-05-23
372.27,0.1,14,pass,2000-05-24
371.75,0.11,14,pass,2000-05-25
372.03,0.28,9,pass,2000-05-26
371.59,0.17,12,pass,2000-05-27
371.27,0.06,11,pass,2000-05-28
372.14,0.07,14,pass,2000-05-31
372.1,0.14,14,pass,2000-06-01
372.0,0.11,14,pass,2000-06-02
371.86,0.15,15,pass,2000-06-03
372.26,0.28,14,pass,2000-06-05
372.07,0.13,15,pass,2000-06-06
371.63,0.27,15,pass,2000-06-07
371.66,0.16,15,pass,2000-06-08
371.88,0.09,10,pass,2000-06-09
372.0,0.05,7,pass,2000-06-10
371.12,0.06,9,pass,2000-06-11
371.81,0.19,13,pass,2000-06-12
371.59,0.13,14,pass,2000-06-13
371.89,0.08,10,pass,2000-06-14
371.71,0.07,14,pass,2000-06-15
371.67,0.26,14,pass,2000-06-16
371.88,0.1,14,pass,2000-06-17
372.09,0.03,7,pass,2000-06-18
372.01,0.11,14,pass,2000-06-19
371.76,0.11,10,pass,2000-06-20
371.66,0.08,14,pass,2000-06-21
371.57,0.23,12,pass,2000-06-22
371.65,0.16,15,pass,2000-06-24
371.63,0.1,12,pass,2000-06-25
371.32,0.18,13,pass,2000-06-26
371.26,0.13,15,pass,2000-06-27
371.13,0.06,15,pass,2000-06-28
371.28,0.15,14,pass,2000-06-29
371.04,0.11,15,pass,2000-06-30
371.06,0.13,13,pass,2000-07-01
370.76,0.18,15,pass,2000-07-02
370.12,0.13,14,pass,2000-07-04
369.9,0.09,11,pass,2000-07-05
370.31,0.16,6,pass,2000-07-06
369.81,0.14,7,pass,2000-07-07
370.44,0.08,8,pass,2000-07-08
369.91,0.08,12,pass,2000-07-09
370.25,0.08,12,pass,2000-07-10
370.03,0.21,12,pass,2000-07-11
370.36,0.08,14,pass,2000-07-12
370.29,0.04,12,pass,2000-07-13
370.21,0.08,12,pass,2000-07-14
370.03,0.07,9,pass,2000-07-15
370.11,0.05,12,pass,2000-07-16
370.01,0.13,12,pass,2000-07-17
369.98,0.2,9,pass,2000-07-19
369.82,0.12,14,pass,2000-07-21
369.79,0.19,14,pass,2000-07-22
369.89,0.07,11,pass,2000-07-23
369.07,0.33,13,pass,2000-07-27
368.93,0.26,12,pass,2000-07-28
368.87,0.16,12,pass,2000-07-29
368.89,0.11,12,pass,2000-07-30
369.02,0.04,11,pass,2000-07-31
369.34,0.21,6,pass,2000-08-01
369.19,0.08,11,pass,2000-08-02
369.08,0.05,14,pass,2000-08-03
368.67,0.03,6,pass,2000-08-04
368.35,0.12,5,pass,2000-08-05
368.6,0.12,9,pass,2000-08-06
368.49,0.57,6,pass,2000-08-07
369.17,0.06,9,pass,2000-08-08
368.97,0.08,11,pass,2000-08-09
368.51,0.07,12,pass,2000-08-10
367.67,0.24,11,pass,2000-08-11
367.93,0.53,12,pass,2000-08-12
368.45,0.08,14,pass,2000-08-13
368.92,0.06,13,pass,2000-08-14
368.47,0.11,14,pass,2000-08-15
368.72,0.23,14,pass,2000-08-16
367.12,0.22,11,pass,2000-08-17
368.01,0.18,14,pass,2000-08-18
368.09,0.05,14,pass,2000-08-19
368.16,0.05,15,pass,2000-08-22
367.26,0.57,10,pass,2000-08-23
367.38,0.54,11,pass,2000-08-24
367.87,0.08,9,pass,2000-08-25
367.14,0.11,5,pass,2000-08-26
367.55,0.09,4,pass,2000-08-27
367.42,0.21,13,pass,2000-08-30
367.57,0.07,6,pass,2000-08-31
367.75,0.08,10,pass,2000-09-01
367.52,0.04,11,pass,2000-09-02
367.36,0.14,14,pass,2000-09-03
367.37,0.12,12,pass,2000-09-04
367.74,0.12,7,pass,2000-09-05
366.6,0.14,4,pass,2000-09-07
367.04,0.26,8,pass,2000-09-08
366.97,0.35,11,pass,2000-09-09
366.32,0.17,8,pass,2000-09-10
367.83,0.1,9,pass,2000-09-12
367.74,0.25,13,pass,2000-09-13
367.25,0.12,4,pass,2000-09-14
367.04,0.31,14,pass,2000-09-15
366.94,0.34,13,pass,2000-09-16
367.16,0.1,8,pass,2000-09-17
366.87,0.68,6,pass,2000-09-18
366.4,0.13,15,pass,2000-09-19
366.64,0.26,8,pass,2000-09-20
366.66,0.15,5,pass,2000-09-21
366.67,0.14,11,pass,2000-09-22
366.77,0.09,14,pass,2000-09-23
366.67,0.13,13,pass,2000-09-24
366.47,0.3,13,pass,2000-09-25
367.12,0.16,8,pass,2000-09-28
366.62,0.14,9,pass,2000-09-29
366.7,0.09,14,pass,2000-09-30
366.72,0.19,11,pass,2000-10-01
366.56,0.07,14,pass,2000-10-02
366.64,0.13,14,pass,2000-10-03
366.78,0.18,13,pass,2000-10-04
366.9,0.14,12,pass,2000-10-05
366.61,0.17,8,pass,2000-10-06
366.33,0.13,13,pass,2000-10-07
366.23,0.12,14,pass,2000-10-08
366.45,0.13,15,pass,2000-10-09
366.67,0.26,14,pass,2000-10-10
366.7,0.06,15,pass,2000-10-11
367.1,0.13,14,pass,2000-10-12
366.97,0.07,15,pass,2000-10-13
367.02,0.07,14,pass,2000-10-14
367.18,0.1,11,pass,2000-10-15
366.98,0.21,12,pass,2000-10-17
366.37,0.12,4,pass,2000-10-18
367.23,0.25,11,pass,2000-10-19
367.34,0.26,11,pass,2000-10-20
366.86,0.18,14,pass,2000-10-21
367.25,0.29,13,pass,2000-10-22
367.34,0.09,11,pass,2000-10-23
366.76,0.12,13,pass,2000-10-24
367.88,0.24,8,pass,2000-10-25
367.64,0.09,13,pass,2000-10-26
367.82,0.12,14,pass,2000-10-27
367.6,0.14,10,pass,2000-10-28
367.63,0.11,14,pass,2000-10-29
367.76,0.15,8,pass,2000-10-30
367.71,0.17,14,pass,2000-10-31
367.72,0.09,13,pass,2000-11-01
368.08,0.04,13,pass,2000-11-02
368.0,0.08,15,pass,2000-11-03
368.02,0.09,14,pass,2000-11-04
367.96,0.07,12,pass,2000-11-05
368.09,0.06,15,pass,2000-11-07
367.98,0.11,13,pass,2000-11-08
368.23,0.09,15,pass,2000-11-10
367.97,0.06,10,pass,2000-11-11
368.29,0.12,8,pass,2000-11-12
368.27,0.06,10,pass,2000-11-13
368.85,0.29,15,pass,2000-11-14
368.57,0.09,15,pass,2000-11-15
369.16,0.2,11,pass,2000-11-16
368.42,0.09,6,pass,2000-11-17
368.59,0.1,13,pass,2000-11-18
368.76,0.55,10,pass,2000-11-19
368.34,0.14,10,pass,2000-11-23
368.3,0.06,15,pass,2000-11-24
368.52,0.11,11,pass,2000-11-25
368.31,0.08,12,pass,2000-11-26
368.69,0.06,15,pass,2000-11-27
368.65,0.05,15,pass,2000-11-28
368.82,0.34,10,pass,2000-11-29
368.71,0.05,12,pass,2000-11-30
368.99,0.61,6,pass,2000-12-02
370.57,0.21,12,pass,2000-12-03
369.52,0.17,14,pass,2000-12-04
369.38,0.07,6,pass,2000-12-05
369.12,0.12,11,pass,2000-12-06
369.09,0.1,15,pass,2000-12-07
370.05,0.15,11,pass,2000-12-08
370.02,0.18,8,pass,2000-12-09
370.39,0.12,14,pass,2000-12-10
369.7,0.34,13,pass,2000-12-11
369.66,0.1,14,pass,2000-12-12
369.33,0.05,13,pass,2000-12-13
369.49,0.13,14,pass,2000-12-14
369.56,0.03,13,pass,2000-12-15
369.5,0.02,14,pass,2000-12-16
369.56,0.07,14,pass,2000-12-17
369.48,0.04,14,pass,2000-12-18
369.6,0.12,9,pass,2000-12-19
369.51,0.27,14,pass,2000-12-20
369.81,0.09,14,pass,2000-12-21
369.77,0.13,14,pass,2000-12-22
369.78,0.04,14,pass,2000-12-23
369.83,0.22,8,pass,2000-12-24
369.72,0.16,11,pass,2000-12-25
369.9,0.15,11,pass,2000-12-26
369.98,0.11,15,pass,2000-12-27
369.64,0.12,15,pass,2000-12-28
370.16,0.05,12,pass,2000-12-29
369.78,0.17,15,pass,2000-12-30
369.75,0.11,14,pass,2000-12-31
369.79,0.11,13,pass,2001-01-01
370.13,0.18,15,pass,2001-01-02
370.82,0.15,12,pass,2001-01-03
370.3,0.19,10,pass,2001-01-04
370.04,0.15,15,pass,2001-01-05
370.37,0.08,14,pass,2001-01-06
370.13,0.03,13,pass,2001-01-07
370.16,0.05,13,pass,2001-01-08
370.11,0.14,14,pass,2001-01-09
370.16,0.06,14,pass,2001-01-10
370.25,0.11,10,pass,2001-01-11
370.17,0.06,13,pass,2001-01-12
371.09,0.06,13,pass,2001-01-13
371.55,0.28,5,pass,2001-01-14
370.33,0.69,10,pass,2001-01-15
370.42,0.1,14,pass,2001-01-17
370.65,0.17,14,pass,2001-01-18
370.98,0.25,11,pass,2001-01-19
370.11,0.12,12,pass,2001-01-20
370.14,0.07,9,pass,2001-01-21
370.22,0.09,12,pass,2001-01-22
369.93,0.1,11,pass,2001-01-23
369.95,0.04,15,pass,2001-01-24
369.93,0.13,11,pass,2001-01-25
372.18,0.26,10,pass,2001-01-26
371.31,0.1,14,pass,2001-01-27
371.55,0.44,12,pass,2001-01-28
371.27,0.13,12,pass,2001-01-29
371.77,0.13,15,pass,2001-01-30
371.79,0.21,11,pass,2001-01-31
371.2,0.08,9,pass,2001-02-01
370.95,0.08,10,pass,2001-02-02
371.02,0.06,14,pass,2001-02-03
372.52,0.25,6,pass,2001-02-04
372.38,0.32,12,pass,2001-02-06
371.98,0.21,10,pass,2001-02-07
371.47,0.13,12,pass,2001-02-08
370.52,0.1,11,pass,2001-02-09
370.62,0.12,6,pass,2001-02-10
371.64,0.15,10,pass,2001-02-12
371.55,0.11,12,pass,2001-02-13
371.96,0.54,9,pass,2001-02-14
372.05,0.08,15,pass,2001-02-15
372.12,0.22,13,pass,2001-02-16
372.47,0.26,11,pass,2001-02-17
371.66,0.08,12,pass,2001-02-18
371.63,0.1,12,pass,2001-02-19
371.34,0.15,9,pass,2001-02-20
371.16,0.78,12,pass,2001-02-21
371.56,0.04,7,pass,2001-02-22
371.59,0.11,15,pass,2001-02-23
371.43,0.08,12,pass,2001-02-24
370.9,0.15,12,pass,2001-02-25
370.76,0.12,11,pass,2001-02-26
371.11,0.09,10,pass,2001-02-27
372.05,0.23,13,pass,2001-02-28
371.84,0.12,6,pass,2001-03-01
372.35,0.35,11,pass,2001-03-02
373.07,0.73,5,pass,2001-03-03
372.56,0.11,3,pass,2001-03-05
372.05,0.12,7,pass,2001-03-06
371.57,0.09,12,pass,2001-03-07
372.44,0.33,13,pass,2001-03-08
372.35,0.19,11,pass,2001-03-10
372.48,0.05,13,pass,2001-03-11
372.1,0.11,14,pass,2001-03-12
372.31,0.08,9,pass,2001-03-13
372.85,0.09,6,pass,2001-03-14
372.94,0.12,15,pass,2001-03-15
372.52,0.33,15,pass,2001-03-16
372.74,0.05,12,pass,2001-03-18
372.8,0.22,13,pass,2001-03-19
372.43,0.14,11,pass,2001-03-20
372.47,0.19,11,pass,2001-03-21
372.39,0.18,8,pass,2001-03-22
372.55,0.09,13,pass,2001-03-23
372.41,0.15,14,pass,2001-03-24
372.72,0.08,14,pass,2001-03-25
372.32,0.86,2,pass,2001-03-26
371.07,0.06,11,pass,2001-03-27
372.84,0.11,6,pass,2001-03-29
373.04,0.1,12,pass,2001-03-31
372.49,0.12,15,pass,2001-04-01
372.09,0.14,13,pass,2001-04-02
372.36,0.14,15,pass,2001-04-03
372.5,0.15,14,pass,2001-04-04
372.68,0.14,13,pass,2001-04-05
372.67,0.07,7,pass,2001-04-06
372.39,0.07,11,pass,2001-04-07
372.6,0.14,6,pass,2001-04-08
372.86,0.26,12,pass,2001-04-09
373.79,1.05,7,pass,2001-04-10
375.36,0.09,7,pass,2001-04-11
374.07,0.01,3,pass,2001-04-12
373.48,0.1,9,pass,2001-04-13
373.1,0.05,10,pass,2001-04-14
373.34,0.14,14,pass,2001-04-15
373.66,0.09,14,pass,2001-04-16
373.51,0.14,13,pass,2001-04-17
373.56,0.18,14,pass,2001-04-18
373.91,0.08,13,pass,2001-04-19
373.98,0.06,13,pass,2001-04-20
374.02,0.14,10,pass,2001-04-21
373.87,0.17,15,pass,2001-04-22
373.42,0.57,7,pass,2001-04-23
373.41,0.11,13,pass,2001-04-24
373.9,0.09,13,pass,2001-04-25
373.62,0.14,11,pass,2001-04-26
373.4,0.09,8,pass,2001-04-27
373.58,0.23,15,pass,2001-04-28
373.64,0.31,14,pass,2001-04-30
372.51,0.14,6,pass,2001-05-01
374.14,0.22,12,pass,2001-05-02
373.76,0.14,5,pass,2001-05-03
373.69,0.16,8,pass,2001-05-04
373.89,0.09,12,pass,2001-05-08
373.93,0.07,12,pass,2001-05-09
373.84,0.13,8,pass,2001-05-10
374.08,0.15,10,pass,2001-05-11
374.05,0.25,4,pass,2001-05-15
373.0,0.09,8,pass,2001-05-16
373.8,0.54,9,pass,2001-05-17
373.94,0.29,6,pass,2001-05-18
373.51,0.25,14,pass,2001-05-20
373.56,0.4,11,pass,2001-05-21
374.05,0.16,15,pass,2001-05-22
374.25,0.14,14,pass,2001-05-23
373.89,0.1,14,pass,2001-05-24
373.8,0.08,12,pass,2001-05-25
374.24,0.14,14,pass,2001-05-26
374.06,0.1,14,pass,2001-05-27
374.23,0.15,14,pass,2001-05-28
374.23,0.13,13,pass,2001-05-29
373.79,0.14,4,pass,2001-05-30
373.85,0.38,10,pass,2001-05-31
373.27,0.07,5,pass,2001-06-01
373.68,0.23,12,pass,2001-06-02
373.89,0.12,14,pass,2001-06-05
374.16,0.07,14,pass,2001-06-06
373.21,0.11,4,pass,2001-06-07
373.13,0.14,14,pass,2001-06-08
372.94,0.06,15,pass,2001-06-09
372.99,0.08,15,pass,2001-06-10
373.52,0.27,14,pass,2001-06-11
373.02,0.13,11,pass,2001-06-12
372.86,0.18,5,pass,2001-06-13
372.86,0.13,9,pass,2001-06-16
372.79,0.05,14,pass,2001-06-17
372.69,0.05,13,pass,2001-06-18
373.54,0.08,14,pass,2001-06-19
373.34,0.04,12,pass,2001-06-20
373.12,0.1,9,pass,2001-06-21
373.24,0.1,11,pass,2001-06-22
373.06,0.2,11,pass,2001-06-23
373.23,0.08,13,pass,2001-06-24
373.02,0.24,9,pass,2001-06-25
373.05,0.14,14,pass,2001-06-26
373.12,0.18,11,pass,2001-06-27
373.12,0.09,6,pass,2001-06-28
372.92,0.2,14,pass,2001-06-29
372.65,0.13,13,pass,2001-06-30
372.64,0.14,15,pass,2001-07-01
372.71,0.12,15,pass,2001-07-02
372.71,0.08,15,pass,2001-07-03
372.6,0.08,15,pass,2001-07-04
372.7,0.11,15,pass,2001-07-05
372.35,0.29,12,pass,2001-07-06
371.66,0.1,4,pass,2001-07-07
371.67,0.03,4,pass,2001-07-09
370.98,0.46,12,pass,2001-07-11
371.09,0.18,6,pass,2001-07-12
371.62,0.14,6,pass,2001-07-13
371.8,0.1,14,pass,2001-07-15
371.91,0.12,14,pass,2001-07-16
372.05,0.04,14,pass,2001-07-17
371.06,1.45,10,pass,2001-07-18
369.22,0.07,5,pass,2001-07-19
371.66,0.08,11,pass,2001-07-20
371.4,0.16,9,pass,2001-07-21
370.57,0.81,9,pass,2001-07-24
371.53,0.15,5,pass,2001-07-25
370.25,0.11,7,pass,2001-07-26
370.77,0.15,14,pass,2001-07-27
371.22,0.29,12,pass,2001-07-28
371.07,0.14,13,pass,2001-07-29
371.21,0.07,4,pass,2001-07-30
370.37,0.09,13,pass,2001-08-04
370.46,0.12,14,pass,2001-08-05
370.47,0.1,10,pass,2001-08-06
369.46,0.13,12,pass,2001-08-07
369.76,0.2,14,pass,2001-08-08
369.97,0.11,14,pass,2001-08-09
369.93,0.11,13,pass,2001-08-10
369.37,0.16,14,pass,2001-08-11
368.91,0.74,7,pass,2001-08-12
367.31,0.06,4,pass,2001-08-13
370.03,0.37,8,pass,2001-08-15
369.77,0.11,9,pass,2001-08-16
369.44,0.06,14,pass,2001-08-17
369.72,0.21,14,pass,2001-08-18
369.11,0.19,13,pass,2001-08-19
369.37,0.06,15,pass,2001-08-20
369.24,0.07,14,pass,2001-08-21
369.38,0.16,10,pass,2001-08-22
368.84,0.15,9,pass,2001-08-23
369.7,0.06,11,pass,2001-08-24
369.58,0.05,13,pass,2001-08-25
369.72,0.16,12,pass,2001-08-26
369.22,0.06,8,pass,2001-08-27
369.48,0.2,12,pass,2001-08-28
369.27,0.13,11,pass,2001-08-29
369.06,0.09,12,pass,2001-08-30
369.33,0.15,11,pass,2001-08-31
368.9,0.22,14,pass,2001-09-01
369.2,0.13,6,pass,2001-09-02
368.83,0.09,7,pass,2001-09-03
368.2,0.1,10,pass,2001-09-04
368.25,0.45,10,pass,2001-09-05
368.33,0.31,9,pass,2001-09-06
366.97,0.15,4,pass,2001-09-07
368.54,0.11,11,pass,2001-09-08
368.47,0.08,11,pass,2001-09-10
368.44,0.31,12,pass,2001-09-11
368.97,0.15,15,pass,2001-09-12
368.28,0.19,14,pass,2001-09-13
368.24,0.09,6,pass,2001-09-14
368.94,0.12,11,pass,2001-09-15
368.81,0.16,15,pass,2001-09-16
368.45,0.33,15,pass,2001-09-17
367.88,0.13,14,pass,2001-09-18
367.73,0.07,13,pass,2001-09-19
367.83,0.06,13,pass,2001-09-20
367.8,0.07,10,pass,2001-09-21
367.83,0.04,8,pass,2001-09-22
368.42,0.51,9,pass,2001-09-23
368.5,0.16,12,pass,2001-09-24
367.39,0.47,9,pass,2001-09-25
367.29,0.15,13,pass,2001-09-26
367.39,0.16,6,pass,2001-09-27
367.87,0.15,14,pass,2001-09-28
367.53,0.2,13,pass,2001-09-30
367.83,0.11,6,pass,2001-10-01
367.96,0.11,11,pass,2001-10-02
368.17,0.12,11,pass,2001-10-03
368.11,0.23,13,pass,2001-10-04
368.23,0.11,9,pass,2001-10-05
368.48,0.18,5,pass,2001-10-06
368.18,0.15,11,pass,2001-10-07
368.32,0.15,13,pass,2001-10-08
368.35,0.16,13,pass,2001-10-09
368.1,0.11,4,pass,2001-10-10
368.1,0.13,15,pass,2001-10-11
368.49,0.18,11,pass,2001-10-12
368.52,0.07,15,pass,2001-10-13
367.85,0.15,11,pass,2001-10-14
367.58,0.18,9,pass,2001-10-15
367.45,0.11,10,pass,2001-10-16
369.06,0.11,10,pass,2001-10-17
368.43,0.09,9,pass,2001-10-18
368.18,0.14,12,pass,2001-10-19
368.64,0.06,11,pass,2001-10-20
368.54,0.08,14,pass,2001-10-21
368.54,0.06,13,pass,2001-10-22
368.5,0.15,13,pass,2001-10-23
368.8,0.28,14,pass,2001-10-24
369.17,0.09,6,pass,2001-10-25
368.55,0.29,7,pass,2001-10-26
368.84,0.09,14,pass,2001-10-27
369.25,0.39,14,pass,2001-10-28
369.19,0.19,13,pass,2001-10-29
369.28,0.1,13,pass,2001-10-30
369.17,0.03,14,pass,2001-10-31
369.17,0.12,15,pass,2001-11-01
368.85,0.06,13,pass,2001-11-02
368.97,0.05,15,pass,2001-11-03
368.9,0.27,15,pass,2001-11-04
369.3,0.15,5,pass,2001-11-05
369.14,0.12,13,pass,2001-11-06
369.04,0.09,12,pass,2001-11-07
369.07,0.13,11,pass,2001-11-08
369.12,0.04,13,pass,2001-11-09
369.81,0.06,10,pass,2001-11-15
369.71,0.13,13,pass,2001-11-16
369.98,0.1,14,pass,2001-11-17
369.92,0.1,12,pass,2001-11-18
370.07,0.23,11,pass,2001-11-20
370.5,0.29,10,pass,2001-11-21
370.62,0.5,15,pass,2001-11-22
369.89,0.1,13,pass,2001-11-23
370.32,0.07,13,pass,2001-11-24
370.57,0.16,10,pass,2001-11-25
370.42,0.05,14,pass,2001-11-26
370.52,0.03,15,pass,2001-11-27
370.6,0.11,14,pass,2001-11-28
370.22,0.07,13,pass,2001-11-29
370.21,0.1,13,pass,2001-11-30
370.53,0.13,14,pass,2001-12-01
370.69,0.1,14,pass,2001-12-02
370.9,0.32,12,pass,2001-12-03
370.47,0.06,14,pass,2001-12-04
370.63,0.18,11,pass,2001-12-05
371.13,0.1,14,pass,2001-12-06
370.93,0.13,14,pass,2001-12-07
370.74,0.1,9,pass,2001-12-08
370.64,0.11,14,pass,2001-12-09
370.67,0.17,11,pass,2001-12-10
371.06,0.14,10,pass,2001-12-11
372.32,0.2,10,pass,2001-12-12
371.56,0.25,9,pass,2001-12-13
371.14,0.04,15,pass,2001-12-15
371.27,0.12,3,pass,2001-12-16
371.26,0.1,15,pass,2001-12-17
371.07,0.13,15,pass,2001-12-18
371.03,0.1,15,pass,2001-12-19
371.37,0.09,11,pass,2001-12-20
371.35,0.15,15,pass,2001-12-21
371.51,0.11,15,pass,2001-12-22
371.38,0.16,9,pass,2001-12-23
371.57,0.32,6,pass,2001-12-25
371.26,0.06,13,pass,2001-12-26
372.91,0.12,5,pass,2001-12-27
371.62,0.48,12,pass,2001-12-28
371.4,0.18,13,pass,2001-12-29
371.58,0.08,13,pass,2001-12-30
371.79,0.16,13,pass,2001-12-31
373.32,0.33,10,pass,2002-01-01
371.75,0.07,11,pass,2002-01-02
372.13,0.19,13,pass,2002-01-03
372.75,0.24,13,pass,2002-01-04
372.1,0.02,14,pass,2002-01-05
372.23,0.15,12,pass,2002-01-06
371.94,0.06,15,pass,2002-01-07
371.9,0.03,14,pass,2002-01-08
371.8,0.04,15,pass,2002-01-09
371.97,0.11,11,pass,2002-01-10
372.8,0.18,14,pass,2002-01-11
372.79,0.2,15,pass,2002-01-12
372.61,0.53,13,pass,2002-01-13
372.47,0.35,15,pass,2002-01-14
372.17,0.05,15,pass,2002-01-15
372.41,0.08,14,pass,2002-01-16
372.28,0.06,13,pass,2002-01-17
373.91,0.09,9,pass,2002-01-18
373.3,0.09,12,pass,2002-01-19
373.04,0.15,9,pass,2002-01-20
373.01,0.08,11,pass,2002-01-21
372.71,0.16,9,pass,2002-01-22
372.68,0.11,14,pass,2002-01-23
372.55,0.16,7,pass,2002-01-24
371.96,0.12,12,pass,2002-01-25
372.1,0.11,7,pass,2002-01-26
373.03,0.35,7,pass,2002-01-29
372.23,0.12,12,pass,2002-01-30
373.04,0.1,15,pass,2002-02-01
372.96,0.17,14,pass,2002-02-02
372.5,0.12,15,pass,2002-02-03
373.12,0.06,9,pass,2002-02-04
374.23,0.25,14,pass,2002-02-05
372.31,0.12,15,pass,2002-02-06
372.31,0.17,14,pass,2002-02-07
372.44,0.15,12,pass,2002-02-08
373.73,0.27,8,pass,2002-02-09
374.15,0.83,13,pass,2002-02-10
373.18,0.19,14,pass,2002-02-11
373.02,0.16,12,pass,2002-02-12
372.94,0.1,8,pass,2002-02-13
372.59,0.22,13,pass,2002-02-14
372.5,0.17,14,pass,2002-02-15
372.64,0.04,14,pass,2002-02-16
372.93,0.06,14,pass,2002-02-17
372.88,0.14,14,pass,2002-02-18
372.64,0.11,12,pass,2002-02-19
372.6,0.16,8,pass,2002-02-20
374.46,0.19,14,pass,2002-02-21
373.21,0.49,11,pass,2002-02-22
372.87,0.19,13,pass,2002-02-23
372.88,0.06,6,pass,2002-02-24
