CountyIds,COUNTY,Latitude,Longitude,AdminUnit,Name,AcresBurned,Started,Extinguished,Duration,ArchiveYear,PercentContained,MajorIncident,time
15,kern,34.882,-118.9194,CAL FIRE / Kern County Fire / State Parks / US Forest Service,Rancho Fire,712.0,2013-07-19 12:00:00+00:00,2013-07-22 18:45:00+00:00,3 days 06:45:00,2013,100.0,True,2013-07-19
19,los angeles,34.49149,-118.610044,CAL FIRE/Los Angeles County ,Lake Fire,712.0,2013-05-17 13:23:00+00:00,2013-05-18 19:00:00+00:00,1 days 05:37:00,2013,100.0,False,2013-05-17
15,kern,34.90327,-118.93388,Kern County Fire,Water Fire,612.0,2013-07-23 09:15:00+00:00,2013-07-25 18:30:00+00:00,2 days 09:15:00,2013,100.0,False,2013-07-23
9,el dorado,38.774,-120.298,Eldorado National Forest,Kyburz Fire,572.0,2013-07-08 12:45:00+00:00,2013-07-11 18:30:00+00:00,3 days 05:45:00,2013,100.0,False,2013-07-08
36,san bernardino,34.071556,-117.048397,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,Mills Fire,534.0,2013-06-28 14:30:00+00:00,2013-07-01 06:00:00+00:00,2 days 15:30:00,2013,100.0,True,2013-06-28
32,plumas,40.00842,-120.764666,Plumas National Forest,Plumas Lightning Complex (Hough),513.0,2013-08-18 18:30:00+00:00,2013-08-25 13:15:00+00:00,6 days 18:45:00,2013,100.0,False,2013-08-18
33,riverside,33.894055,-116.855019,CAL FIRE/Riverside County Fire,Gorgonio Fire,510.0,2013-05-04 11:43:00+00:00,2013-05-05 18:45:00+00:00,1 days 07:02:00,2013,100.0,False,2013-05-04
25,modoc,41.2415,-121.035,CAL FIRE Lassen-Modoc Unit,Fox Fire (formally 3-7 Fire),502.0,2013-07-03 22:56:00+00:00,2013-07-05 18:30:00+00:00,1 days 19:34:00,2013,100.0,False,2013-07-03
40,san luis obispo,35.15832,-120.05131000000002,Los Padres National Forest,Branch Fire,500.0,2013-06-01 17:27:00+00:00,2013-06-03 18:30:00+00:00,2 days 01:03:00,2013,100.0,False,2013-06-01
7,contra costa,37.96866,-121.91453,CAL FIRE Santa Clara Unit,Kirker Fire,492.0,2013-07-01 13:19:00+00:00,2013-07-01 18:40:00+00:00,0 days 05:21:00,2013,100.0,False,2013-07-01
20,madera,37.015575,-119.78106,CAL FIRE Madera-Mariposa-Merced Unit,Rolling Fire,482.0,2013-06-16 18:17:00+00:00,2013-06-18 19:30:00+00:00,2 days 01:13:00,2013,100.0,True,2013-06-16
36,san bernardino,34.302,-117.598,San Bernardino National Forest,Gobblers Fire,413.0,2013-08-20 13:32:00+00:00,2013-08-20 13:32:00+00:00,0 days 00:00:00,2013,100.0,False,2013-08-20
14,inyo,36.602575,-118.01651,CAL FIRE San Bernardino Unit,River Fire,406.0,2013-02-24 08:16:00+00:00,2013-02-28 20:00:00+00:00,4 days 11:44:00,2013,100.0,True,2013-02-24
28,napa,38.628,-122.289,CAL FIRE Sonoma-Lake-Napa Unit,Putah Fire,376.0,2013-10-03 20:33:00+00:00,2013-10-04 16:55:00+00:00,0 days 20:22:00,2013,100.0,True,2013-10-03
35,san benito,37.160346,-120.937494,CAL FIRE San Benito-Monterey ,Tres Pinos Fire,354.0,2013-05-03 11:42:00+00:00,2013-05-03 18:45:00+00:00,0 days 07:03:00,2013,100.0,False,2013-05-03
33,riverside,0.0,0.0,CAL FIRE / Riverside County Fire,Jurupa Fire,311.0,2013-02-28 16:43:00+00:00,2013-03-02 19:00:00+00:00,2 days 02:17:00,2013,100.0,False,2013-02-28
4,butte,39.439,-121.497,CAL FIRE Butte Unit,Summit Fire,305.0,2013-10-04 17:37:00+00:00,2013-10-05 22:00:00+00:00,1 days 04:23:00,2013,100.0,True,2013-10-04
39,san joaquin,38.04993,-120.90325,CAL FIRE Tuolumne-Calaveras Unit ,Shelton Fire,303.0,2013-05-30 11:20:00+00:00,2013-05-30 13:25:00+00:00,0 days 02:05:00,2013,100.0,False,2013-05-30
4,butte,39.434183,-121.576804,CAL FIRE Butte Unit,Lone Fire,298.0,2013-06-03 13:49:00+00:00,2013-06-03 20:00:00+00:00,0 days 06:11:00,2013,100.0,True,2013-06-03
17,lake,0.0,0.0,CAL FIRE Sonoma-Lake-Napa Unit,Becks Fire,296.0,2013-01-22 11:08:00+00:00,2013-01-23 10:15:00+00:00,0 days 23:07:00,2013,100.0,False,2013-01-22
7,contra costa,39.90465,-121.74367,CAL FIRE Santa Clara Unit,Concord Fire,274.0,2013-07-01 15:41:00+00:00,2013-07-01 18:30:00+00:00,0 days 02:49:00,2013,100.0,False,2013-07-01
20,madera,37.116295,-119.635004,CAL FIRE Madera-Mariposa-Merced Unit,Gold Fire,274.0,2013-04-30 12:59:00+00:00,2013-05-01 07:00:00+00:00,0 days 18:01:00,2013,100.0,False,2013-04-30
19,los angeles,34.149,-117.908,Angeles National Forest/Los Angeles County Fire,Madre Fire,268.0,2013-09-23 18:00:00+00:00,2013-09-28 08:00:00+00:00,4 days 14:00:00,2013,100.0,False,2013-09-23
37,san diego,32.710918,-116.746023,CAL FIRE San Diego Unit / Cleveland National Forest,Lyon Fire,263.0,2013-09-09 13:09:00+00:00,2013-09-12 18:15:00+00:00,3 days 05:06:00,2013,100.0,True,2013-09-09
36,san bernardino,34.35,-117.62,Angeles National Forest,Sharp Fire,243.0,2013-08-08 12:15:00+00:00,2013-08-13 23:45:00+00:00,5 days 11:30:00,2013,100.0,False,2013-08-08
1,alameda,37.775057,-121.73721299999998,CAL FIRE Santa Clara Unit,Vasco Fire,240.0,2013-06-08 10:16:00+00:00,2013-06-08 13:25:00+00:00,0 days 03:09:00,2013,100.0,False,2013-06-08
31,placer,38.729297,-121.380862,CAL FIRE/Placer County Fire,PFE Fire,237.0,2013-06-13 11:28:00+00:00,2013-06-13 14:15:00+00:00,0 days 02:47:00,2013,100.0,False,2013-06-13
