"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","HDSD","HN01","HN02","HN03","HTDD","HX01","HX02","HX03","LN01","LN02","LN03","LX01","LX02","LX03","MN01","MN02","MN03","MNPN","MX01","MX02","MX03","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2019-05",,"193","109",,,,,"0","0","0","22","2","43",,,,"91",,"2389",,,,"94",,,,,,,,,,,,,,,,,,,,,"65.5","76.5","54.4",,,,,,,,
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2019-06",,"660","467",,,,,"0","0","0","30","22","54",,,,"104",,"2389",,,,"0",,,,,,,,,,,,,,,,,,,,,"80.6","93.1","68.0",,,,,,,,
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2019-07",,"1229","569",,,,,"0","0","0","31","27","62",,,,"105",,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,"83.4","95.0","71.7",,,,,,,,
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2019-08",,"1809","580",,,,,"0","0","0","31","26","59",,,,"107",,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,"83.7","95.9","71.5",,,,,,,,
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2019-05",,,"176","3","0",,,"0","0","0","30","6","46",,,"0.05","92",,,,,,"20",,,,,,,,,,,,,,,,,,"0.09",,,"70.0","82.2","57.9",,,,,,,,
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2019-06",,,"599","0","0",,,"0","0","0","30","29","64",,,"0.00","107",,,,,,"0",,,,,,,,,,,,,,,,,,"0.00",,,"85.0","99.0","71.0",,,,,,,,
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2019-07",,,"780","3","2",,,"0","0","0","31","31","70",,,"0.78","111",,"0",,,,"0",,,,,,,,,,,,,,,,,,"1.44",,,"90.2","104.4","75.9",,,,,,,,
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2019-08",,,"790","0","0",,,"0","0","0","31","31","69",,,"0.00","111",,"0",,,,"0",,,,,,,,,,,,,,,,,,"0.00",,,"90.5","104.9","76.1",,,,,,,,
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2019-05",,"54","24",,,,,"0","0","0","20","0","38",,,,"87",,"2856",,,,"163",,,,,,,,,,,,,,,,,,,,,"60.5","72.8","48.2",,,,,,,,
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2019-06",,"334","279",,,,,"0","0","0","30","13","47",,,,"99",,"2861",,,,"6",,,,,,,,,,,,,,,,,,,,,"74.1","88.8","59.5",,,,,,,,
