date,county,latitude,longitude,fire_name,acres_burned,fire_bins,duration,started,extinguished,major_incident,admin_unit,avg_wind_speed,avg_monthly_temp,extreme_max_temp,extreme_min_temp,total_monthly_precipitation,total_monthly_snowfall,highest_daily_snowfall,dsnd,dp10,dt00,dt32,dx32,dx70,cooling_degree_days,elevation,co2_measured_mole_fraction,qc_flag,temp_range,month,season
2017-12-01,santa barbara,34.71796,-120.27077,Drum Fire,14.0,1,24.0,2017-12-16 12:21:00+00:00,2018-01-09 13:49:00+00:00,False,Santa Barbara County Fire,3.7,56.84615384615385,81.15384615384616,33.07692307692308,0.007272727272727274,0.0,0.0,0.0,0.0,0.0,3.692307692307693,0.0,15.692307692307693,12.153846153846152,222.5470588235294,407.7,pass,26.07692307692308,12,winter
2017-12-01,santa barbara,34.605358,-120.414875,Coast Fire,14.0,1,26.0,2017-12-14 12:59:00+00:00,2018-01-09 13:49:00+00:00,False,Santa Barbara County Fire,3.7,56.84615384615385,81.15384615384616,33.07692307692308,0.007272727272727274,0.0,0.0,0.0,0.0,0.0,3.692307692307693,0.0,15.692307692307693,12.153846153846152,222.5470588235294,406.14,pass,26.07692307692308,12,winter
2017-12-01,ventura,34.415209999999995,-119.09123999999998,Thomas Fire,281893.0,6,464.0,2017-12-04 18:28:00+00:00,2019-03-14 11:24:00+00:00,True,US Forest Service - Los Padres National Forest ,8.333333333333332,56.670833333333334,83.91666666666667,31.58333333333333,0.0009090909090909092,0.0,0.0,0.0,0.0,0.0,7.0,0.0,16.833333333333332,23.41666666666667,446.0055555555557,407.21,pass,27.824999999999996,12,winter
2017-12-01,riverside,33.965140000000005,-117.4764,Riverdale Fire,40.0,1,36.0,2017-12-04 12:26:00+00:00,2018-01-09 13:47:00+00:00,False,CAL FIRE/Riverside County Fire and Riverside City Fire Department ,5.8,57.08181818181818,81.22727272727273,31.863636363636363,0.0006666666666666666,0.0,0.0,0.0,0.0,0.0,2.6818181818181817,0.0,17.318181818181817,12.045454545454545,534.6619047619048,407.21,pass,26.28181818181818,12,winter
2017-12-01,riverside,33.59257,-117.14979,Liberty Fire,300.0,4,33.0,2017-12-07 13:14:00+00:00,2018-01-09 13:47:00+00:00,False,Murrieta Fire,5.8,57.08181818181818,81.22727272727273,31.863636363636363,0.0006666666666666666,0.0,0.0,0.0,0.0,0.0,2.6818181818181817,0.0,17.318181818181817,12.045454545454545,534.6619047619048,406.61,pass,26.28181818181818,12,winter
2017-12-01,riverside,33.9885,-117.38417,Riverbottom Fire,45.0,1,19.0,2017-12-21 11:16:00+00:00,2018-01-09 13:49:00+00:00,False,City of Riverside Fire Department,5.8,57.08181818181818,81.22727272727273,31.863636363636363,0.0006666666666666666,0.0,0.0,0.0,0.0,0.0,2.6818181818181817,0.0,17.318181818181817,12.045454545454545,534.6619047619048,406.76,pass,26.28181818181818,12,winter
2017-12-01,riverside,33.88994,-116.91023,Longhorn Fire,19.0,1,26.0,2017-12-13 15:27:00+00:00,2018-01-09 13:49:00+00:00,False,CAL FIRE/Riverside County Fire Department,5.8,57.08181818181818,81.22727272727273,31.863636363636363,0.0006666666666666666,0.0,0.0,0.0,0.0,0.0,2.6818181818181817,0.0,17.318181818181817,12.045454545454545,534.6619047619048,405.92,pass,26.28181818181818,12,winter
2017-07-01,lassen,40.07045,-120.14013,Long Valley Fire,83733.0,6,181.0,2017-07-11 14:15:00+00:00,2018-01-09 11:52:00+00:00,False,Bureau of Land Management,5.35,70.8125,95.25,44.41666666666666,0.334,0.0,0.0,0.0,0.4,0.0,0.08333333333333333,0.0,31.0,187.25,1550.46875,407.23,pass,35.14166666666666,07,summer
2017-07-01,lassen,40.6361,-120.9643,Antelope Fire,0.0,1,186.0,2017-07-06 13:00:00+00:00,2018-01-09 11:45:00+00:00,False,Lassen National Forest,5.35,70.8125,95.25,44.41666666666666,0.334,0.0,0.0,0.0,0.4,0.0,0.08333333333333333,0.0,31.0,187.25,1550.46875,407.74,pass,35.14166666666666,07,summer
2017-07-01,san diego,32.84796,-116.85396,Jennings Fire,400.0,4,181.0,2017-07-11 13:45:00+00:00,2018-01-09 11:52:00+00:00,True,"Unified Command: CAL FIRE San Diego Unit, Alpine Fire Protection District and  Lakeside Fire Protection District",5.699999999999998,76.1171052631579,96.07894736842104,56.631578947368425,0.07582417582417582,0.0,0.0,0.0,0.17777777777777778,0.0,0.0,0.0,30.842105263157894,343.7105263157895,373.0723809523809,407.23,pass,22.55000000000001,07,summer
2017-07-01,san diego,33.34659,-116.66107,Lost Fire,255.0,4,263.0,2017-07-22 15:00:00+00:00,2018-04-12 14:52:00+00:00,False,Unified Command: CAL FIRE San Diego County Fire Authority and Cleveland National Forest - USFS,5.699999999999998,76.1171052631579,96.07894736842104,56.631578947368425,0.07582417582417582,0.0,0.0,0.0,0.17777777777777778,0.0,0.0,0.0,30.842105263157894,343.7105263157895,373.0723809523809,406.43,pass,22.55000000000001,07,summer
2017-07-01,santa clara,37.39801,-121.8179,Lariat Fire,101.0,3,181.0,2017-07-11 16:51:00+00:00,2018-01-09 11:53:00+00:00,False,San Jose Fire Department,6.9,72.61875,96.75,52.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,235.875,224.30454545454543,407.23,pass,22.71249999999999,07,summer
