date,acres_burned,fire_bins,duration,avg_wind_speed,avg_monthly_temp,extreme_max_temp,extreme_min_temp,total_monthly_precipitation,total_monthly_snowfall,highest_daily_snowfall,dsnd,dp10,dt00,dt32,dx32,dx70,cooling_degree_days,elevation,co2_measured_mole_fraction,temp_range,county_amador,county_butte,county_calaveras,county_colusa,county_contra costa,county_del norte,county_el dorado,county_fresno,county_glenn,county_humboldt,county_inyo,county_kern,county_kings,county_lake,county_lassen,county_los angeles,county_madera,county_marin,county_mariposa,county_mendocino,county_merced,county_modoc,county_mono,county_monterey,county_napa,county_nevada,county_orange,county_placer,county_plumas,county_riverside,county_sacramento,county_san benito,county_san bernardino,county_san diego,county_san joaquin,county_san luis obispo,county_san mateo,county_santa barbara,county_santa clara,county_santa cruz,county_shasta,county_sierra,county_siskiyou,county_solano,county_sonoma,county_stanislaus,county_sutter,county_tehama,county_trinity,county_tulare,county_tuolumne,county_ventura,county_yolo,county_yuba,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12,season_spring,season_summer,season_winter
2017-07-01,255.0,3,263.0,5.699999999999998,76.1171052631579,96.07894736842104,56.631578947368425,0.07582417582417582,0.0,0.0,0.0,0.17777777777777778,0.0,0.0,0.0,30.842105263157894,343.7105263157895,373.0723809523809,406.43,22.55000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2017-07-01,101.0,2,181.0,6.9,72.61875,96.75,52.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,235.875,224.30454545454543,407.23,22.71249999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2017-07-01,51.0,1,166.0,6.9,72.61875,96.75,52.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,235.875,224.30454545454543,406.66,22.71249999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2017-07-01,70.0,1,182.0,6.9,72.61875,96.75,52.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,235.875,224.30454545454543,407.26,22.71249999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2017-07-01,78.0,1,169.0,6.9,72.61875,96.75,52.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,235.875,224.30454545454543,407.27,22.71249999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2017-07-01,81826.0,5,176.0,5.35,74.32500000000002,92.875,55.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.875,296.5,1100.5214285714285,406.48,26.050000000000026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2017-07-01,225.0,2,190.0,5.35,74.32500000000002,92.875,55.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.875,296.5,1100.5214285714285,406.82,26.050000000000026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2017-07-01,900.0,4,176.0,4.3,72.51111111111112,98.11111111111113,49.111111111111114,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.444444444444446,261.8888888888889,357.6222222222222,406.48,35.08888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2017-07-01,20.0,0,175.0,4.3,72.51111111111112,98.11111111111113,49.111111111111114,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.444444444444446,261.8888888888889,357.6222222222222,407.52,35.08888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2017-07-01,40.0,0,177.0,7.5,69.4875,98.16666666666669,47.16666666666666,0.002142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.33333333333333,186.33333333333331,174.525,406.48,30.94166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2017-08-01,78698.0,5,147.0,3.6,74.49782608695654,103.8695652173913,49.78260869565217,0.2928571428571428,0.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,30.82608695652174,293.0,1032.0266666666666,405.19,33.517391304347804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2017-08-01,39715.0,5,147.0,3.6,74.49782608695654,103.8695652173913,49.78260869565217,0.2928571428571428,0.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,30.82608695652174,293.0,1032.0266666666666,405.66,33.517391304347804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
