year,month,day,value,value_std_dev,nvalue,latitude,longitude,qcflag
2000,1,1,368.84,0.09,15,19.535999999999998,-155.576,pass
2000,1,2,368.82,0.16,13,19.535999999999998,-155.576,pass
2000,1,3,368.75,0.12,12,19.535999999999998,-155.576,pass
2000,1,4,368.82,0.13,13,19.535999999999998,-155.576,pass
2000,1,5,368.66,0.1,14,19.535999999999998,-155.576,pass
2000,1,6,368.46,0.03,14,19.535999999999998,-155.576,pass
2000,1,7,368.64,0.23,14,19.535999999999998,-155.576,pass
2000,1,8,369.0,0.04,14,19.535999999999998,-155.576,pass
2000,1,9,368.83,0.05,14,19.535999999999998,-155.576,pass
2000,1,10,368.8,0.09,12,19.535999999999998,-155.576,pass
2000,1,11,368.96,0.09,9,19.535999999999998,-155.576,pass
2000,1,12,368.71,0.13,14,19.535999999999998,-155.576,pass
2000,1,13,369.14,0.14,7,19.535999999999998,-155.576,pass
2000,1,14,368.84,0.08,9,19.535999999999998,-155.576,pass
2000,1,15,368.82,0.04,14,19.535999999999998,-155.576,pass
2000,1,16,370.02,0.24,9,19.535999999999998,-155.576,pass
2000,1,20,369.63,0.14,12,19.535999999999998,-155.576,pass
2000,1,21,369.83,0.26,12,19.535999999999998,-155.576,pass
2000,1,22,370.65,0.19,6,19.535999999999998,-155.576,pass
2000,1,23,369.87,0.16,13,19.535999999999998,-155.576,pass
2000,1,24,369.57,0.1,14,19.535999999999998,-155.576,pass
2000,1,27,370.59,0.38,15,19.535999999999998,-155.576,pass
2000,1,28,370.63,0.11,14,19.535999999999998,-155.576,pass
2000,1,29,369.75,0.17,9,19.535999999999998,-155.576,pass
2000,1,30,369.34,0.11,15,19.535999999999998,-155.576,pass
2000,1,31,368.98,0.16,9,19.535999999999998,-155.576,pass
2000,2,1,369.42,0.1,3,19.535999999999998,-155.576,pass
2000,2,4,369.39,0.15,8,19.535999999999998,-155.576,pass
2000,2,5,369.15,0.05,6,19.535999999999998,-155.576,pass
2000,2,6,369.38,0.08,10,19.535999999999998,-155.576,pass
2000,2,10,369.52,0.03,10,19.535999999999998,-155.576,pass
2000,2,12,369.93,0.01,3,19.535999999999998,-155.576,pass
2000,2,14,369.82,0.09,7,19.535999999999998,-155.576,pass
2000,2,15,369.82,0.07,7,19.535999999999998,-155.576,pass
2000,2,17,369.51,0.13,11,19.535999999999998,-155.576,pass
2000,2,19,370.76,0.19,5,19.535999999999998,-155.576,pass
2000,2,21,369.14,0.03,15,19.535999999999998,-155.576,pass
2000,2,22,369.01,0.11,13,19.535999999999998,-155.576,pass
2000,2,23,368.9,0.13,14,19.535999999999998,-155.576,pass
2000,2,24,369.01,0.15,15,19.535999999999998,-155.576,pass
2000,2,25,370.24,0.09,14,19.535999999999998,-155.576,pass
2000,2,26,369.84,0.16,14,19.535999999999998,-155.576,pass
2000,2,27,370.27,0.12,13,19.535999999999998,-155.576,pass
2000,2,28,369.5,0.11,13,19.535999999999998,-155.576,pass
2000,2,29,369.83,0.26,14,19.535999999999998,-155.576,pass
2000,3,1,369.74,0.17,8,19.535999999999998,-155.576,pass
2000,3,2,369.95,0.12,10,19.535999999999998,-155.576,pass
2000,3,3,370.8,0.09,12,19.535999999999998,-155.576,pass
2000,3,4,370.66,0.14,13,19.535999999999998,-155.576,pass
2000,3,5,371.29,0.17,10,19.535999999999998,-155.576,pass
2000,3,6,369.84,0.14,7,19.535999999999998,-155.576,pass
2000,3,7,369.64,0.16,11,19.535999999999998,-155.576,pass
2000,3,8,369.86,0.13,14,19.535999999999998,-155.576,pass
2000,3,9,369.58,0.06,12,19.535999999999998,-155.576,pass
2000,3,10,369.67,0.14,6,19.535999999999998,-155.576,pass
2000,3,11,370.64,0.05,3,19.535999999999998,-155.576,pass
2000,3,12,370.28,0.18,11,19.535999999999998,-155.576,pass
2000,3,13,370.44,0.28,14,19.535999999999998,-155.576,pass
2000,3,14,370.03,0.15,15,19.535999999999998,-155.576,pass
2000,3,15,370.87,0.19,13,19.535999999999998,-155.576,pass
2000,3,16,370.77,0.17,9,19.535999999999998,-155.576,pass
2000,3,17,370.82,0.15,11,19.535999999999998,-155.576,pass
2000,3,18,371.29,0.15,10,19.535999999999998,-155.576,pass
2000,3,19,371.47,0.23,14,19.535999999999998,-155.576,pass
2000,3,20,371.03,0.26,15,19.535999999999998,-155.576,pass
2000,3,21,370.85,0.16,15,19.535999999999998,-155.576,pass
2000,3,23,370.71,0.05,5,19.535999999999998,-155.576,pass
2000,3,24,370.94,0.2,4,19.535999999999998,-155.576,pass
2000,3,25,370.6,0.43,13,19.535999999999998,-155.576,pass
2000,3,26,371.07,0.18,10,19.535999999999998,-155.576,pass
2000,3,27,371.22,0.17,7,19.535999999999998,-155.576,pass
2000,3,28,371.18,0.22,8,19.535999999999998,-155.576,pass
2000,3,29,370.79,0.11,13,19.535999999999998,-155.576,pass
2000,3,30,370.74,0.12,7,19.535999999999998,-155.576,pass
2000,3,31,371.01,0.2,12,19.535999999999998,-155.576,pass
2000,4,1,371.91,0.16,10,19.535999999999998,-155.576,pass
2000,4,2,370.65,0.33,10,19.535999999999998,-155.576,pass
2000,4,3,371.48,0.21,12,19.535999999999998,-155.576,pass
2000,4,4,370.72,0.08,12,19.535999999999998,-155.576,pass
2000,4,5,370.21,0.09,5,19.535999999999998,-155.576,pass
2000,4,6,371.74,0.04,5,19.535999999999998,-155.576,pass
2000,4,7,371.13,0.08,5,19.535999999999998,-155.576,pass
2000,4,8,371.52,0.08,8,19.535999999999998,-155.576,pass
2000,4,9,372.28,0.27,9,19.535999999999998,-155.576,pass
2000,4,10,371.61,0.1,12,19.535999999999998,-155.576,pass
2000,4,12,371.49,0.1,14,19.535999999999998,-155.576,pass
2000,4,13,372.06,0.33,5,19.535999999999998,-155.576,pass
2000,4,14,371.48,0.13,9,19.535999999999998,-155.576,pass
2000,4,15,373.11,0.15,13,19.535999999999998,-155.576,pass
2000,4,16,372.41,0.09,15,19.535999999999998,-155.576,pass
2000,4,17,372.25,0.24,8,19.535999999999998,-155.576,pass
2000,4,18,372.12,0.3,14,19.535999999999998,-155.576,pass
2000,4,20,373.34,0.26,15,19.535999999999998,-155.576,pass
2000,4,21,372.02,0.25,10,19.535999999999998,-155.576,pass
2000,4,22,371.85,0.2,15,19.535999999999998,-155.576,pass
2000,4,23,371.98,0.05,14,19.535999999999998,-155.576,pass
2000,4,24,371.87,0.3,11,19.535999999999998,-155.576,pass
2000,4,25,371.93,0.06,6,19.535999999999998,-155.576,pass
2000,4,26,371.94,0.09,14,19.535999999999998,-155.576,pass
2000,4,27,371.97,0.06,9,19.535999999999998,-155.576,pass
2000,4,28,371.82,0.08,14,19.535999999999998,-155.576,pass
2000,4,30,371.69,0.17,9,19.535999999999998,-155.576,pass
2000,5,1,370.9,0.09,14,19.535999999999998,-155.576,pass
2000,5,2,370.67,0.04,12,19.535999999999998,-155.576,pass
2000,5,3,370.6,0.1,14,19.535999999999998,-155.576,pass
2000,5,4,370.8,0.27,13,19.535999999999998,-155.576,pass
2000,5,5,370.76,0.03,13,19.535999999999998,-155.576,pass
2000,5,6,370.92,0.28,10,19.535999999999998,-155.576,pass
2000,5,7,372.2,0.54,5,19.535999999999998,-155.576,pass
2000,5,9,371.82,0.15,14,19.535999999999998,-155.576,pass
2000,5,10,371.94,0.35,11,19.535999999999998,-155.576,pass
2000,5,11,372.12,0.12,15,19.535999999999998,-155.576,pass
2000,5,12,371.77,0.26,13,19.535999999999998,-155.576,pass
2000,5,13,371.4,0.12,15,19.535999999999998,-155.576,pass
2000,5,14,371.36,0.09,13,19.535999999999998,-155.576,pass
2000,5,15,371.56,0.18,15,19.535999999999998,-155.576,pass
2000,5,16,371.38,0.11,14,19.535999999999998,-155.576,pass
