date,county,latitude,longitude,fire_name,acres_burned,fire_bins,duration,started,extinguished,pct_contained,major_incident,admin_unit,avg_wind_speed,avg_monthly_temp,max_monthly_temp,extreme_max_temp,min_monthly_temp,extreme_min_temp,total_monthly_precipitation,highest_daily_precipitation,total_monthly_snowfall,highest_daily_snowfall,dsnd,dp01,dp10,dt00,dt32,dx32,dx70,cooling_degree_days,heating_degree_days,elevation,co2_measured_mole_fraction,value_std_dev,co2_number_of_measurements,qc_flag
2017-12-01,santa barbara,34.415209999999995,-119.09123999999998,Thomas Fire,281893.0,5,464.0,2017-12-04 18:28:00+00:00,2019-03-14 11:24:00+00:00,100.0,True,US Forest Service - Los Padres National Forest ,3.7,56.83076923076923,69.88461538461539,81.15384615384616,43.80769230769231,33.07692307692308,0.007272727272727273,0.006,0.0,0.0,,0.4,0.0,0.0,3.6923076923076925,0.0,15.692307692307692,12.153846153846153,265.0769230769231,222.5470588235294,407.21,0.24,14,pass
2017-12-01,santa barbara,34.71796,-120.27077,Drum Fire,14.0,0,24.0,2017-12-16 12:21:00+00:00,2018-01-09 13:49:00+00:00,100.0,False,Santa Barbara County Fire,3.7,56.83076923076923,69.88461538461539,81.15384615384616,43.80769230769231,33.07692307692308,0.007272727272727273,0.006,0.0,0.0,,0.4,0.0,0.0,3.6923076923076925,0.0,15.692307692307692,12.153846153846153,265.0769230769231,222.5470588235294,407.7,0.06,7,pass
2017-12-01,santa barbara,34.605358,-120.414875,Coast Fire,14.0,0,26.0,2017-12-14 12:59:00+00:00,2018-01-09 13:49:00+00:00,100.0,False,Santa Barbara County Fire,3.7,56.83076923076923,69.88461538461539,81.15384615384616,43.80769230769231,33.07692307692308,0.007272727272727273,0.006,0.0,0.0,,0.4,0.0,0.0,3.6923076923076925,0.0,15.692307692307692,12.153846153846153,265.0769230769231,222.5470588235294,406.14,0.16,10,pass
2017-12-01,ventura,34.415209999999995,-119.09123999999998,Thomas Fire,281893.0,5,464.0,2017-12-04 18:28:00+00:00,2019-03-14 11:24:00+00:00,100.0,True,US Forest Service - Los Padres National Forest ,8.333333333333332,56.67499999999999,70.58333333333333,83.91666666666667,42.75833333333333,31.583333333333332,0.0009090909090909091,0.0009090909090909091,0.0,0.0,,0.09090909090909091,0.0,0.0,7.0,0.0,16.833333333333332,23.416666666666668,281.6666666666667,446.00555555555565,407.21,0.24,14,pass
2017-12-01,riverside,33.965140000000005,-117.4764,Riverdale Fire,40.0,0,36.0,2017-12-04 12:26:00+00:00,2018-01-09 13:47:00+00:00,100.0,False,CAL FIRE/Riverside County Fire and Riverside City Fire Department ,5.8,57.07727272727273,70.22272727272727,81.22727272727273,43.94090909090909,31.863636363636363,0.0006666666666666666,0.0006896551724137932,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,2.6818181818181817,0.0,17.318181818181817,12.045454545454545,252.45454545454547,534.6619047619048,407.21,0.24,14,pass
2017-12-01,riverside,33.59257,-117.14979,Liberty Fire,300.0,3,33.0,2017-12-07 13:14:00+00:00,2018-01-09 13:47:00+00:00,100.0,False,Murrieta Fire,5.8,57.07727272727273,70.22272727272727,81.22727272727273,43.94090909090909,31.863636363636363,0.0006666666666666666,0.0006896551724137932,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,2.6818181818181817,0.0,17.318181818181817,12.045454545454545,252.45454545454547,534.6619047619048,406.61,0.25,15,pass
2017-12-01,riverside,33.9885,-117.38417,Riverbottom Fire,45.0,0,19.0,2017-12-21 11:16:00+00:00,2018-01-09 13:49:00+00:00,100.0,False,City of Riverside Fire Department,5.8,57.07727272727273,70.22272727272727,81.22727272727273,43.94090909090909,31.863636363636363,0.0006666666666666666,0.0006896551724137932,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,2.6818181818181817,0.0,17.318181818181817,12.045454545454545,252.45454545454547,534.6619047619048,406.76,0.26,15,pass
2017-12-01,riverside,33.88994,-116.91023,Longhorn Fire,19.0,0,26.0,2017-12-13 15:27:00+00:00,2018-01-09 13:49:00+00:00,100.0,False,CAL FIRE/Riverside County Fire Department,5.8,57.07727272727273,70.22272727272727,81.22727272727273,43.94090909090909,31.863636363636363,0.0006666666666666666,0.0006896551724137932,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,2.6818181818181817,0.0,17.318181818181817,12.045454545454545,252.45454545454547,534.6619047619048,405.92,0.16,10,pass
2017-07-01,lassen,40.07045,-120.14013,Long Valley Fire,83733.0,5,181.0,2017-07-11 14:15:00+00:00,2018-01-09 11:52:00+00:00,100.0,False,Bureau of Land Management,,70.80833333333334,88.38333333333333,95.25,53.24166666666667,44.416666666666664,0.33399999999999996,0.33399999999999996,0.0,0.0,0.0,0.4,0.4,0.0,0.08333333333333333,0.0,31.0,187.25,7.25,1550.46875,407.23,0.19,9,pass
2017-07-01,lassen,40.6361,-120.9643,Antelope Fire,0.0,0,186.0,2017-07-06 13:00:00+00:00,2018-01-09 11:45:00+00:00,100.0,False,Lassen National Forest,,70.80833333333334,88.38333333333333,95.25,53.24166666666667,44.416666666666664,0.33399999999999996,0.33399999999999996,0.0,0.0,0.0,0.4,0.4,0.0,0.08333333333333333,0.0,31.0,187.25,7.25,1550.46875,407.74,0.43,13,pass
