,CountyIds,COUNTY_x,Latitude,Longitude,AdminUnit,Name,AcresBurned,Started,Extinguished,Duration,ArchiveYear,PercentContained,MajorIncident,time,value,value_std_dev,nvalue,qcflag,time/place,ELEVATION,AWND,CLDD,DP01,DP10,DSND,DT00,DT32,DX32,DX70,EMNT,EMSN,EMXP,EMXT,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN,COUNTY_y
10,37,san diego,32.84796,-116.85396000000001,"Unified Command: CAL FIRE San Diego Unit, Alpine Fire Protection District and  Lakeside Fire Protection District",Jennings Fire,400.0,2017-07-11 13:45:00+00:00,2018-01-09 11:52:00+00:00,181.0,2017,100.0,True,2017-07-01,407.23,0.19,9,pass,2017-07-01san diego,343.7105263157895,373.07238095238085,5.7,0.5444444444444444,0.17777777777777778,0.0,0.0,0.0,0.0,30.842105263157894,12.078947368421053,56.63157894736842,0.0,0.06022222222222221,96.07894736842105,0.02631578947368421,0.07582417582417583,0.0,76.11578947368423,87.39210526315792,64.84210526315788
11,37,san diego,33.34659,-116.66107,Unified Command: CAL FIRE San Diego County Fire Authority and Cleveland National Forest - USFS,Lost Fire,255.0,2017-07-22 15:00:00+00:00,2018-04-12 14:52:00+00:00,263.0,2017,100.0,False,2017-07-01,406.43,0.09,14,pass,2017-07-01san diego,343.7105263157895,373.07238095238085,5.7,0.5444444444444444,0.17777777777777778,0.0,0.0,0.0,0.0,30.842105263157894,12.078947368421053,56.63157894736842,0.0,0.06022222222222221,96.07894736842105,0.02631578947368421,0.07582417582417583,0.0,76.11578947368423,87.39210526315792,64.84210526315788
12,43,santa clara,37.39801,-121.8179,San Jose Fire Department,Lariat Fire,101.0,2017-07-11 16:51:00+00:00,2018-01-09 11:53:00+00:00,181.0,2017,100.0,False,2017-07-01,407.23,0.19,9,pass,2017-07-01santa clara,235.875,224.30454545454543,6.9,0.0,0.0,0.0,0.0,0.0,0.0,30.5,6.375,52.125,0.0,0.0,96.75,3.25,0.0,0.0,72.6125,83.97499999999998,61.262499999999996
13,43,santa clara,37.44485,-121.84108,CAL FIRE Santa Clara Unit,Weller Fire,51.0,2017-07-26 23:19:00+00:00,2018-01-09 12:07:00+00:00,166.0,2017,100.0,False,2017-07-01,406.66,0.12,15,pass,2017-07-01santa clara,235.875,224.30454545454543,6.9,0.0,0.0,0.0,0.0,0.0,0.0,30.5,6.375,52.125,0.0,0.0,96.75,3.25,0.0,0.0,72.6125,83.97499999999998,61.262499999999996
14,43,santa clara,37.25014,-121.68562,CAL FIRE Santa Clara Unit,Felipe Fire,70.0,2017-07-10 15:54:00+00:00,2018-01-09 11:52:00+00:00,182.0,2017,100.0,False,2017-07-01,407.26,0.16,6,pass,2017-07-01santa clara,235.875,224.30454545454543,6.9,0.0,0.0,0.0,0.0,0.0,0.0,30.5,6.375,52.125,0.0,0.0,96.75,3.25,0.0,0.0,72.6125,83.97499999999998,61.262499999999996
15,43,santa clara,36.96607,-121.55552,CAL FIRE Santa Clara Unit,Castro Fire,78.0,2017-07-23 16:07:00+00:00,2018-01-09 12:04:00+00:00,169.0,2017,100.0,False,2017-07-01,407.27,0.3,12,pass,2017-07-01santa clara,235.875,224.30454545454543,6.9,0.0,0.0,0.0,0.0,0.0,0.0,30.5,6.375,52.125,0.0,0.0,96.75,3.25,0.0,0.0,72.6125,83.97499999999998,61.262499999999996
16,22,mariposa,37.61757,-120.21321,CAL FIRE Madera-Mariposa-Merced Unit,Detwiler Fire,81826.0,2017-07-16 15:56:00+00:00,2018-01-09 11:57:00+00:00,176.0,2017,100.0,True,2017-07-01,406.48,0.05,8,pass,2017-07-01mariposa,296.5,1100.5214285714285,,0.0,0.0,,0.0,0.0,0.0,30.875,13.5,55.375,0.0,0.0,92.875,8.75,0.0,0.0,74.3375,87.35000000000001,61.3
17,22,mariposa,37.4591,-119.921,CAL FIRE Madera-Mariposa-Merced Unit,Spring Fire,225.0,2017-07-02 13:36:00+00:00,2018-01-09 11:17:00+00:00,190.0,2017,100.0,True,2017-07-01,406.82,0.04,4,pass,2017-07-01mariposa,296.5,1100.5214285714285,,0.0,0.0,,0.0,0.0,0.0,30.875,13.5,55.375,0.0,0.0,92.875,8.75,0.0,0.0,74.3375,87.35000000000001,61.3
18,23,mendocino,39.30125,-123.28825,CAL FIRE Mendocino Unit,Grade Fire,900.0,2017-07-16 14:51:00+00:00,2018-01-09 11:56:00+00:00,176.0,2017,100.0,True,2017-07-01,406.48,0.05,8,pass,2017-07-01mendocino,261.8888888888889,357.6222222222222,4.3,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,27.444444444444443,19.77777777777778,49.111111111111114,0.0,0.004166666666666667,98.11111111111111,30.0,0.005,0.0,72.52222222222223,90.05555555555556,54.96666666666667
19,23,mendocino,39.13207,-123.10226999999999,CAL FIRE Mendocino Unit,Range Fire,20.0,2017-07-17 12:37:00+00:00,2018-01-09 11:58:00+00:00,175.0,2017,100.0,True,2017-07-01,407.52,0.14,12,pass,2017-07-01mendocino,261.8888888888889,357.6222222222222,4.3,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,27.444444444444443,19.77777777777778,49.111111111111114,0.0,0.004166666666666667,98.11111111111111,30.0,0.005,0.0,72.52222222222223,90.05555555555556,54.96666666666667
20,27,monterey,36.66684,-121.74826000000002,Monterey County Regional Fire District,Reservation Fire,40.0,2017-07-16 11:17:00+00:00,2018-01-09 11:56:00+00:00,177.0,2017,100.0,False,2017-07-01,406.48,0.05,8,pass,2017-07-01monterey,186.33333333333334,174.52500000000003,7.5,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,25.333333333333332,12.916666666666666,47.166666666666664,0.0,0.0023076923076923075,98.16666666666667,47.083333333333336,0.002142857142857143,0.0,69.48333333333333,84.95833333333333,54.01666666666667
21,47,siskiyou,41.841,-123.47399999999999,Klamath National Forest,Eclipse Complex,78698.0,2017-08-15 07:55:00+00:00,2018-01-09 12:43:00+00:00,147.0,2017,100.0,False,2017-08-01,405.19,0.1,11,pass,2017-08-01siskiyou,293.0,1032.0266666666666,3.6,1.9285714285714286,0.6428571428571429,0.0,0.0,0.0,0.0,30.82608695652174,18.26086956521739,49.78260869565217,0.0,0.24071428571428571,103.8695652173913,0.43478260869565216,0.29285714285714287,0.0,74.48695652173913,91.25652173913043,57.73913043478263
22,47,siskiyou,42.038999999999994,-123.21799999999999,Rogue River-Siskiyou National Forest,Miller Complex,39715.0,2017-08-14 14:00:00+00:00,2018-01-09 12:42:00+00:00,147.0,2017,100.0,False,2017-08-01,405.66,0.07,8,pass,2017-08-01siskiyou,293.0,1032.0266666666666,3.6,1.9285714285714286,0.6428571428571429,0.0,0.0,0.0,0.0,30.82608695652174,18.26086956521739,49.78260869565217,0.0,0.24071428571428571,103.8695652173913,0.43478260869565216,0.29285714285714287,0.0,74.48695652173913,91.25652173913043,57.73913043478263
23,47,siskiyou,41.99483,-121.90077,CAL FIRE Siskiyou Unit,Owens Fire,55.0,2017-08-29 15:39:00+00:00,2018-01-09 12:47:00+00:00,132.0,2017,100.0,False,2017-08-01,404.03,0.1,14,pass,2017-08-01siskiyou,293.0,1032.0266666666666,3.6,1.9285714285714286,0.6428571428571429,0.0,0.0,0.0,0.0,30.82608695652174,18.26086956521739,49.78260869565217,0.0,0.24071428571428571,103.8695652173913,0.43478260869565216,0.29285714285714287,0.0,74.48695652173913,91.25652173913043,57.73913043478263
24,47,siskiyou,41.853,-123.676,Six Rivers National Forest,Young Fire,3142.0,2017-08-07 17:45:00+00:00,2018-01-09 12:26:00+00:00,154.0,2017,100.0,False,2017-08-01,405.4,0.44,6,pass,2017-08-01siskiyou,293.0,1032.0266666666666,3.6,1.9285714285714286,0.6428571428571429,0.0,0.0,0.0,0.0,30.82608695652174,18.26086956521739,49.78260869565217,0.0,0.24071428571428571,103.8695652173913,0.43478260869565216,0.29285714285714287,0.0,74.48695652173913,91.25652173913043,57.73913043478263
