,CountyIds,Counties,Latitude,Longitude,AdminUnit,Name,AcresBurned,Started,Extinguished,ArchiveYear,PercentContained,MajorIncident,time,value,value_std_dev,nvalue,qcflag
27,54,Tulare,36.208,-118.444,Sequoia National Forest,Fish Fire,2060.0,2013-08-24 14:31:00+00:00,2013-09-24 20:15:00+00:00,2013,100.0,False,2013-08-24,394.86,0.25,14,pass
28,36,San Bernardino,33.642,-116.706,San Bernardino National Forest,Little Fire,97.0,2013-08-24 15:09:00+00:00,2013-08-30 08:00:00+00:00,2013,100.0,False,2013-08-24,394.86,0.25,14,pass
29,9,El Dorado,38.89555,-120.84716,CAL FIRE Amador-El Dorado Unit,Empire Fire,38.0,2013-08-24 14:54:00+00:00,2013-08-24 11:45:00+00:00,2013,100.0,False,2013-08-24,394.86,0.25,14,pass
30,42,Santa Barbara,34.55048,-119.82429,USFS Los Padres National Forest,White Fire,1984.0,2013-05-27 14:45:00+00:00,2013-05-30 19:30:00+00:00,2013,100.0,False,2013-05-27,400.25,0.01,4,pass
31,22,Mariposa,37.58202,-119.91071,CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest ,Carstens Fire,1708.0,2013-06-16 14:12:00+00:00,2013-06-26 11:15:00+00:00,2013,100.0,True,2013-06-16,398.47,0.15,10,pass
32,20,Madera,37.015575,-119.78106,CAL FIRE Madera-Mariposa-Merced Unit,Rolling Fire,482.0,2013-06-16 18:17:00+00:00,2013-06-18 19:30:00+00:00,2013,100.0,True,2013-06-16,398.47,0.15,10,pass
33,"33,",Riverside,33.62236,-117.40288,Cleveland National Forest / CAL FIRE Riverside Unit,Falls Fire,1383.0,2013-08-05 10:10:00+00:00,2013-08-09 18:45:00+00:00,2013,100.0,False,2013-08-05,395.35,0.16,4,pass
34,55,Tuolumne,38.25108,-120.02778,Stanislaus National Forest,Power Fire,1070.0,2013-08-05 06:00:00+00:00,2013-08-14 08:30:00+00:00,2013,100.0,False,2013-08-05,395.35,0.16,4,pass
35,37,San Diego,33.04458,-116.5209,CAL FIRE San Diego Unit,General Fire,1271.0,2013-05-26 12:04:00+00:00,2013-05-31 06:15:00+00:00,2013,100.0,True,2013-05-26,400.63,0.25,14,pass
36,27,Monterey,0.0,0.0,Los Padres National Forest / CAL FIRE San Benito-Monterey Unit,Pfeiffer Fire,917.0,2013-12-16 00:20:00+00:00,2013-12-20 20:00:00+00:00,2013,100.0,False,2013-12-16,396.7,0.13,14,pass
37,15,Kern,35.707,-118.588,Sequoia National Forest,Shirley Fire,794.0,2013-08-18 23:12:00+00:00,2013-08-24 13:45:00+00:00,2013,100.0,False,2013-08-18,395.03,0.24,10,pass
38,32,Plumas,40.00842,-120.764666,Plumas National Forest,Plumas Lightning Complex (Hough),513.0,2013-08-18 18:30:00+00:00,2013-08-25 13:15:00+00:00,2013,100.0,False,2013-08-18,395.03,0.24,10,pass
39,19,Los Angeles,34.49149,-118.610044,CAL FIRE/Los Angeles County ,Lake Fire,712.0,2013-05-17 13:23:00+00:00,2013-05-18 19:00:00+00:00,2013,100.0,False,2013-05-17,399.91,0.16,9,pass
40,15,Kern,34.90327,-118.93388,Kern County Fire,Water Fire,612.0,2013-07-23 09:15:00+00:00,2013-07-25 18:30:00+00:00,2013,100.0,False,2013-07-23,396.96,0.34,10,pass
41,23,Mendocino,38.980846,-123.067671,CAL FIRE Mendocino Unit,Pratt Fire,45.0,2013-07-23 13:29:00+00:00,2013-07-23 16:00:00+00:00,2013,100.0,False,2013-07-23,396.96,0.34,10,pass
42,36,San Bernardino,34.071556,-117.048397,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,Mills Fire,534.0,2013-06-28 14:30:00+00:00,2013-07-01 06:00:00+00:00,2013,100.0,True,2013-06-28,398.58,0.09,15,pass
43,33,Riverside,33.894055,-116.855019,CAL FIRE/Riverside County Fire,Gorgonio Fire,510.0,2013-05-04 11:43:00+00:00,2013-05-05 18:45:00+00:00,2013,100.0,False,2013-05-04,399.83,0.11,14,pass
44,25,Modoc,41.2415,-121.035,CAL FIRE Lassen-Modoc Unit,Fox Fire (formally 3-7 Fire),502.0,2013-07-03 22:56:00+00:00,2013-07-05 18:30:00+00:00,2013,100.0,False,2013-07-03,398.21,0.1,3,pass
45,40,San Luis Obispo,35.15832,-120.05131000000002,Los Padres National Forest,Branch Fire,500.0,2013-06-01 17:27:00+00:00,2013-06-03 18:30:00+00:00,2013,100.0,False,2013-06-01,398.81,0.31,11,pass
46,7,Contra Costa,37.96866,-121.91453,CAL FIRE Santa Clara Unit,Kirker Fire,492.0,2013-07-01 13:19:00+00:00,2013-07-01 18:40:00+00:00,2013,100.0,False,2013-07-01,398.76,0.13,15,pass
47,7,Contra Costa,39.90465,-121.74367,CAL FIRE Santa Clara Unit,Concord Fire,274.0,2013-07-01 15:41:00+00:00,2013-07-01 18:30:00+00:00,2013,100.0,False,2013-07-01,398.76,0.13,15,pass
48,36,San Bernardino,34.302,-117.598,San Bernardino National Forest,Gobblers Fire,413.0,2013-08-20 13:32:00+00:00,2013-08-20 13:32:00+00:00,2013,100.0,False,2013-08-20,395.82,0.09,6,pass
49,14,Inyo,36.602575,-118.01651,CAL FIRE San Bernardino Unit,River Fire,406.0,2013-02-24 08:16:00+00:00,2013-02-28 20:00:00+00:00,2013,100.0,True,2013-02-24,397.22,0.27,8,pass
50,28,Napa,38.628,-122.289,CAL FIRE Sonoma-Lake-Napa Unit,Putah Fire,376.0,2013-10-03 20:33:00+00:00,2013-10-04 16:55:00+00:00,2013,100.0,True,2013-10-03,393.49,0.19,12,pass
51,35,San Benito,37.160346,-120.937494,CAL FIRE San Benito-Monterey ,Tres Pinos Fire,354.0,2013-05-03 11:42:00+00:00,2013-05-03 18:45:00+00:00,2013,100.0,False,2013-05-03,399.76,0.1,11,pass
52,33,Riverside,0.0,0.0,CAL FIRE / Riverside County Fire,Jurupa Fire,311.0,2013-02-28 16:43:00+00:00,2013-03-02 19:00:00+00:00,2013,100.0,False,2013-02-28,396.68,0.07,15,pass
53,4,Butte,39.439,-121.497,CAL FIRE Butte Unit,Summit Fire,305.0,2013-10-04 17:37:00+00:00,2013-10-05 22:00:00+00:00,2013,100.0,True,2013-10-04,393.24,0.32,12,pass
54,49,Sonoma,38.34599,-122.6503,CAL FIRE Sonoma-Lake-Napa Unit,Crane Fire,159.0,2013-10-04 12:25:00+00:00,2013-10-05 07:45:00+00:00,2013,100.0,False,2013-10-04,393.24,0.32,12,pass
55,1,Alameda,0.0,0.0,CAL FIRE Santa Clara Unit,Highland Fire,150.0,2013-10-04 07:35:00+00:00,2013-10-04 10:30:00+00:00,2013,100.0,False,2013-10-04,393.24,0.32,12,pass
56,4,Butte,39.434183,-121.576804,CAL FIRE Butte Unit,Lone Fire,298.0,2013-06-03 13:49:00+00:00,2013-06-03 20:00:00+00:00,2013,100.0,True,2013-06-03,399.45,0.09,13,pass
57,17,Lake,0.0,0.0,CAL FIRE Sonoma-Lake-Napa Unit,Becks Fire,296.0,2013-01-22 11:08:00+00:00,2013-01-23 10:15:00+00:00,2013,100.0,False,2013-01-22,395.18,0.08,14,pass
58,20,Madera,37.116295,-119.635004,CAL FIRE Madera-Mariposa-Merced Unit,Gold Fire,274.0,2013-04-30 12:59:00+00:00,2013-05-01 07:00:00+00:00,2013,100.0,False,2013-04-30,399.4,0.04,13,pass
59,28,Napa,38.441792,-122.350844,CAL FIRE Sonoma-Lake-Napa Unit,Silverado Fire,75.0,2013-04-30 23:44:00+00:00,2013-05-01 17:15:00+00:00,2013,100.0,False,2013-04-30,399.4,0.04,13,pass
60,19,Los Angeles,34.149,-117.908,Angeles National Forest/Los Angeles County Fire,Madre Fire,268.0,2013-09-23 18:00:00+00:00,2013-09-28 08:00:00+00:00,2013,100.0,False,2013-09-23,393.04,0.17,12,pass
61,36,San Bernardino,34.35,-117.62,Angeles National Forest,Sharp Fire,243.0,2013-08-08 12:15:00+00:00,2013-08-13 23:45:00+00:00,2013,100.0,False,2013-08-08,395.44,0.24,7,pass
62,1,Alameda,37.775057,-121.73721299999998,CAL FIRE Santa Clara Unit,Vasco Fire,240.0,2013-06-08 10:16:00+00:00,2013-06-08 13:25:00+00:00,2013,100.0,False,2013-06-08,398.68,0.11,15,pass
63,33,Riverside,33.969359999999995,-117.1265,CAL FIRE/Riverside County Fire,Viper Fire,42.0,2013-06-08 15:37:00+00:00,2013-06-08 19:00:00+00:00,2013,100.0,False,2013-06-08,398.68,0.11,15,pass
64,31,Placer,38.729297,-121.380862,CAL FIRE/Placer County Fire,PFE Fire,237.0,2013-06-13 11:28:00+00:00,2013-06-13 14:15:00+00:00,2013,100.0,False,2013-06-13,398.98,0.07,7,pass
65,10,Fresno,36.772425,-119.62838899999998,CAL FIRE/Fresno County Fire,Clinton Fire,108.0,2013-06-13 11:54:00+00:00,2013-06-13 21:30:00+00:00,2013,100.0,False,2013-06-13,398.98,0.07,7,pass
66,10,Fresno,36.763367,-119.558244,CAL FIRE/Fresno County Fire,Michelle Fire,35.0,2013-06-13 15:54:00+00:00,2013-06-13 21:30:00+00:00,2013,100.0,False,2013-06-13,398.98,0.07,7,pass
67,11,Glenn,0.0,0.0,Mendocino National Forest,Daves Fire,226.0,2013-06-12 15:17:00+00:00,2013-06-17 09:00:00+00:00,2013,100.0,False,2013-06-12,399.07,0.16,7,pass
68,3,Amador,38.27783,-120.966016,CAL FIRE Amador-El Dorado Unit,Roadrunner Fire,96.0,2013-06-12 16:43:00+00:00,2013-06-13 09:45:00+00:00,2013,100.0,False,2013-06-12,399.07,0.16,7,pass
69,20,Madera,37.169379,-119.75636000000002,CAL FIRE Madera-Mariposa-Merced Unit,Revis Fire,75.0,2013-06-12 16:40:00+00:00,2013-06-14 16:30:00+00:00,2013,100.0,True,2013-06-12,399.07,0.16,7,pass
70,27,Monterey,0.0,0.0,Los Padres National Forest,Tassajara Fire,213.0,2013-07-17 13:23:00+00:00,2013-07-17 19:30:00+00:00,2013,100.0,False,2013-07-17,396.85,0.07,14,pass
71,36,San Bernardino,34.2,-117.417,San Bernardino National Forest/CAL FIRE San Bernardino Unit,Sierra Fire,200.0,2013-09-24 15:51:00+00:00,2013-09-30 08:30:00+00:00,2013,100.0,False,2013-09-24,393.39,0.17,9,pass
72,40,San Luis Obispo,35.4393,-120.8358,CAL FIRE San Luis Obispo Unit,Creek Fire,94.0,2013-09-24 03:20:00+00:00,2013-09-24 17:30:00+00:00,2013,100.0,False,2013-09-24,393.39,0.17,9,pass
73,28,Napa,38.382,-122.311,CAL FIRE Sonoma-Lake-Napa Unit,Silverado Fire,190.0,2013-11-21 21:39:00+00:00,2013-11-23 18:30:00+00:00,2013,100.0,True,2013-11-21,394.78,0.13,14,pass
74,42,Santa Barbara,34.611824,-120.074655,Santa Barbara County Fire,Olive Fire,170.0,2013-05-28 15:24:00+00:00,2013-05-29 10:30:00+00:00,2013,100.0,False,2013-05-28,400.3,0.18,12,pass
75,19,Los Angeles,34.419284000000005,-118.58688,Los Angeles County Fire Department,Magic Fire,149.0,2013-05-28 11:30:00+00:00,2013-05-29 15:30:00+00:00,2013,100.0,False,2013-05-28,400.3,0.18,12,pass
76,57,Yolo,38.67479,-122.08725,CAL FIRE Sonoma-Lake-Napa Unit,Capay Fire,163.0,2013-11-04 11:41:00+00:00,2013-11-04 15:35:00+00:00,2013,100.0,False,2013-11-04,394.41,0.07,10,pass
77,49,Sonoma,38.17693,-122.51253,CAL FIRE Sonoma-Lake-Napa Unit,Lakeville Fire,158.0,2013-07-26 13:45:00+00:00,2013-07-26 17:45:00+00:00,2013,100.0,False,2013-07-26,397.2,0.11,15,pass
78,33,Riverside,33.99012800000001,-117.164997,CAL FIRE / Riverside County Fire,Redlands Fire,150.0,2013-07-16 17:48:00+00:00,2013-07-17 07:45:00+00:00,2013,100.0,False,2013-07-16,397.12,0.06,14,pass
79,50,Stanislaus,37.436,-121.1955,CAL FIRE Santa Clara Unit,Diablo Fire,150.0,2013-07-12 15:35:00+00:00,2013-07-13 21:45:00+00:00,2013,100.0,False,2013-07-12,397.3,0.26,4,pass
80,43,Santa Clara,37.1438,-121.7804,CAL FIRE Santa Clara Unit,Uvas Fire,50.0,2013-07-12 13:09:00+00:00,2013-07-12 17:45:00+00:00,2013,100.0,False,2013-07-12,397.3,0.26,4,pass
81,4,Butte,0.0,0.0,CAL FIRE Butte Unit,Neal Fire,150.0,2013-05-22 00:56:00+00:00,2013-05-22 09:30:00+00:00,2013,100.0,True,2013-05-22,399.99,0.1,14,pass
82,37,San Diego,32.56446500000001,-116.900368,CAL FIRE San Diego Unit,Border Fire,100.0,2013-05-22 16:14:00+00:00,2013-05-23 08:30:00+00:00,2013,100.0,False,2013-05-22,399.99,0.1,14,pass
83,48,Solano,38.08744,-122.13802,CAL FIRE Sanoma-Lake-Napa Unit,California Fire,124.0,2013-06-18 15:18:00+00:00,2013-06-18 22:30:00+00:00,2013,100.0,False,2013-06-18,398.29,0.39,14,pass
84,24,Merced,37.03776,-121.006939,CAL FIRE Madera-Mariposa-Merced Unit,152 Fire,124.0,2013-06-04 15:42:00+00:00,2013-06-05 08:30:00+00:00,2013,100.0,False,2013-06-04,399.12,0.12,13,pass
85,33,Riverside,33.963591,-117.187934,CAL FIRE/Riverside County Fire,Smiley Fire,124.0,2013-05-25 14:59:00+00:00,2013-05-25 23:00:00+00:00,2013,100.0,False,2013-05-25,400.0,0.08,14,pass
86,40,San Luis Obispo,35.5123,-120.6368,CAL FIRE San Luis Obispo Unit,Homestead Fire,50.0,2013-05-25 17:35:00+00:00,2013-05-25 18:45:00+00:00,2013,100.0,False,2013-05-25,400.0,0.08,14,pass
87,17,Lake,38.88221400000001,-122.567525,CAL FIRE Sonoma-Lake-Napa Unit,Cantwell Fire,120.0,2013-11-08 13:42:00+00:00,2013-11-10 18:30:00+00:00,2013,100.0,True,2013-11-08,394.58,0.13,8,pass
88,40,San Luis Obispo,35.45797800000001,-120.751555,CAL FIRE San Luis Obispo Unit,Toro Fire,51.0,2013-11-08 10:30:00+00:00,2013-11-09 17:00:00+00:00,2013,100.0,True,2013-11-08,394.58,0.13,8,pass
89,27,Monterey,36.1531,-120.8973,CAL FIRE San Benito-Monterey Unit ,Freeman Fire,105.0,2013-06-29 14:09:00+00:00,2013-06-29 18:30:00+00:00,2013,100.0,False,2013-06-29,398.65,0.13,15,pass
